"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.0172661845869015,0.00136508618580705,2431,-12.648420859005,1.46743778152408e-35
"stimulusPain",0.00364045139142009,0.000882938959554188,2431,4.12310653191498,3.86336861082727e-05
"conditionSleepDeprived",-0.00294444318623732,0.0014020130981912,2431,-2.1001538359635,0.0358181048118143
"stimulusPain:conditionSleepDeprived",0.000842619770586354,0.00126558503997727,2431,0.665794667264312,0.50560552184459
