set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.000,0.000,536,0.000,0.000,0.000, 10.74,  Inf,0.000,  0, 39, 51,
,,,,,,0.000,0.000,  9.63,  Inf,0.000,  0, 51, 18,
,,,,,,0.000,0.000,  8.35, 7.74,0.000,  0, 60, -3,
,,0.000,0.009,10,0.003,0.000,0.000,  7.02, 6.64,0.000, 12,-30,  0,
,,0.000,0.000,22,0.000,0.000,0.000,  7.01, 6.64,0.000, -3,-21, 36,
,,0.000,0.000,23,0.000,0.000,0.000,  6.98, 6.61,0.000,  6,-96, 24,
,,,,,,0.000,0.001,  6.77, 6.43,0.000,  6,-99, 15,
,,0.000,0.000,28,0.000,0.000,0.000,  6.90, 6.54,0.000, -9,-27,  6,
,,0.000,0.000,29,0.000,0.000,0.001,  6.67, 6.34,0.000,-39, 18,-18,
,,,,,,0.001,0.041,  5.87, 5.64,0.000,-33, 18,-24,
,,0.000,0.000,35,0.000,0.000,0.003,  6.49, 6.18,0.000,-27,-75,-42,
,,,,,,0.002,0.103,  5.64, 5.44,0.000,-18,-78,-39,
,,,,,,0.002,0.105,  5.60, 5.40,0.000,-36,-69,-48,
,,0.000,0.000,22,0.000,0.000,0.005,  6.35, 6.06,0.000,-27, 48, 21,
,,0.000,0.017,8,0.007,0.002,0.105,  5.62, 5.42,0.000, 42, 18,-18,
,,0.001,0.036,6,0.017,0.014,0.460,  5.23, 5.06,0.000,  6,  9, 12,
,,0.001,0.052,5,0.027,0.023,0.596,  5.12, 4.97,0.000, 45,-69, 45,
