set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,63,0.000,0.000,134,0.000,0.000,0.000,  6.98, 6.60,0.000, 51, 33, 27,
,,,,,,0.068,0.028,  4.88, 4.74,0.000, 45, 30, 36,
,,0.000,0.000,195,0.000,0.000,0.000,  6.46, 6.16,0.000, 12, 30,-24,
,,,,,,0.115,0.041,  4.74, 4.61,0.000, 27, 27, -3,
,,,,,,0.162,0.051,  4.64, 4.52,0.000,  9, 42,-33,
,,0.000,0.000,188,0.000,0.000,0.000,  6.41, 6.11,0.000,-54,  3,-39,
,,,,,,0.002,0.003,  5.68, 5.47,0.000,-42, 18,-42,
,,,,,,0.018,0.013,  5.18, 5.01,0.000,-36, 12,-48,
,,0.000,0.000,166,0.000,0.000,0.001,  6.03, 5.78,0.000, 15,  9, 39,
,,,,,,0.174,0.053,  4.62, 4.50,0.000, 15, 33, 30,
,,0.084,0.031,37,0.005,0.001,0.002,  5.89, 5.65,0.000, 39,-84,-42,
,,,,,,0.980,0.323,  3.73, 3.66,0.000, 27,-90,-42,
,,0.049,0.020,43,0.003,0.002,0.004,  5.60, 5.40,0.000,-15, 12, 45,
,,,,,,1.000,0.712,  3.32, 3.27,0.001,-21,  3, 45,
,,0.000,0.000,104,0.000,0.004,0.006,  5.47, 5.28,0.000, 36, 12, 39,
,,,,,,0.047,0.022,  4.97, 4.83,0.000, 33,  3, 33,
,,,,,,0.109,0.040,  4.76, 4.63,0.000, 33, 18, 30,
,,0.001,0.001,93,0.000,0.015,0.013,  5.22, 5.05,0.000, 15,-69,-45,
,,,,,,0.163,0.051,  4.64, 4.52,0.000,  3,-57,-33,
,,,,,,0.471,0.094,  4.29, 4.19,0.000,  6,-63,-42,
,,0.024,0.010,51,0.001,0.015,0.013,  5.21, 5.05,0.000, 42,-51, -9,
,,,,,,0.731,0.143,  4.07, 3.99,0.000, 51,-51,-18,
,,0.000,0.000,102,0.000,0.018,0.013,  5.18, 5.02,0.000, 39,-33,-15,
,,,,,,0.018,0.013,  5.18, 5.01,0.000, 36,-12,-21,
,,0.000,0.000,115,0.000,0.019,0.013,  5.17, 5.00,0.000, 30, 48, -6,
,,,,,,0.187,0.054,  4.60, 4.48,0.000, 36, 33,-21,
,,,,,,0.494,0.097,  4.27, 4.17,0.000, 39, 42, -3,
,,0.216,0.064,27,0.013,0.020,0.013,  5.15, 4.99,0.000,-30, 60, 24,
,,,,,,0.021,0.013,  5.14, 4.98,0.000,-24, 66, 21,
,,,,,,0.087,0.034,  4.82, 4.68,0.000,-30, 66, 12,
,,0.935,0.299,8,0.144,0.033,0.018,  5.05, 4.90,0.000,-30, 33,-24,
,,0.415,0.093,20,0.028,0.034,0.018,  5.04, 4.89,0.000,-18,-30,-60,
,,,,,,0.133,0.045,  4.70, 4.57,0.000,-12,-24,-63,
,,0.178,0.055,29,0.010,0.045,0.022,  4.98, 4.84,0.000, 39,  9,-51,
,,,,,,0.512,0.097,  4.25, 4.16,0.000, 30,-12,-45,
,,,,,,0.986,0.332,  3.70, 3.63,0.000, 30,  6,-51,
,,0.346,0.088,22,0.022,0.055,0.024,  4.94, 4.79,0.000, 42,-57,-42,
,,0.147,0.047,31,0.008,0.061,0.026,  4.91, 4.77,0.000, 42,-48,  9,
,,,,,,0.799,0.163,  4.01, 3.93,0.000, 51,-42, -3,
,,0.287,0.078,24,0.018,0.104,0.040,  4.77, 4.64,0.000, 33, 18,-39,
,,0.024,0.010,51,0.001,0.122,0.043,  4.72, 4.60,0.000, -9, 24,-27,
,,,,,,0.581,0.114,  4.20, 4.11,0.000, -9, 36,-33,
,,0.415,0.093,20,0.028,0.145,0.048,  4.68, 4.55,0.000, 36, 18, 12,
,,,,,,0.989,0.347,  3.68, 3.61,0.000, 30, 24, 12,
,,0.379,0.088,21,0.025,0.186,0.054,  4.60, 4.49,0.000, 63, 24, 12,
,,0.379,0.088,21,0.025,0.195,0.055,  4.59, 4.47,0.000,-39,-51, 30,
,,0.904,0.283,9,0.123,0.200,0.056,  4.58, 4.46,0.000, 27, 36, 54,
,,0.935,0.299,8,0.144,0.209,0.057,  4.57, 4.45,0.000, 36,-33, 24,
,,0.092,0.032,36,0.005,0.226,0.057,  4.54, 4.43,0.000,  3,-60, 48,
,,,,,,0.998,0.437,  3.57, 3.51,0.000,  6,-51, 36,
,,0.024,0.010,51,0.001,0.227,0.057,  4.54, 4.43,0.000,-21,-60, 27,
,,,,,,0.388,0.082,  4.36, 4.26,0.000,-21,-57, 18,
,,,,,,0.638,0.122,  4.15, 4.06,0.000,-12,-54,  9,
,,0.379,0.088,21,0.025,0.244,0.058,  4.52, 4.41,0.000, 51,-12,  0,
,,0.935,0.299,8,0.144,0.251,0.058,  4.51, 4.40,0.000,-36,-18, 24,
