;intercept_estimate_CI;intercept_p;intercept_deprivation_CI;deprivation_p;intercept_older_CI;older_p;intercept_interaction_CI;interaction_p
Happy_vs_Angry;"-0.063 [-0.161; 0.036]";0.209;"0.185 [-0.012; 0.382]";0.065;"-0.024 [-0.221; 0.173]";0.811;"0.002 [-0.392; 0.395]";0.993
Happy_vs_Neutral;"0.046 [-0.048; 0.14]";0.336;"-0.014 [-0.194; 0.167]";0.88;"0.037 [-0.152; 0.225]";0.698;"0 [-0.361; 0.361]";0.999
Angry_vs_Neutral;"0.108 [0.027; 0.19]";0.01;"-0.199 [-0.353; -0.045]";0.012;"0.06 [-0.102; 0.223]";0.461;"-0.001 [-0.309; 0.306]";0.993
Happy_vs_Baseline;"1.243 [1.107; 1.379]";0;"0.041 [-0.127; 0.208]";0.627;"0.007 [-0.265; 0.278]";0.961;"-0.015 [-0.35; 0.32]";0.93
Angry_vs_Baseline;"1.306 [1.161; 1.45]";0;"-0.144 [-0.297; 0.009]";0.064;"0.03 [-0.259; 0.32]";0.835;"-0.016 [-0.322; 0.289]";0.915
Neutral_vs_Baseline;"1.197 [1.073; 1.321]";0;"0.055 [-0.091; 0.2]";0.456;"-0.03 [-0.278; 0.218]";0.809;"-0.015 [-0.306; 0.276]";0.918
Happy_and_Angry_vs_Baseline;"2.548 [2.284; 2.813]";0;"-0.103 [-0.35; 0.143]";0.406;"0.037 [-0.492; 0.566]";0.889;"-0.031 [-0.524; 0.462]";0.9
All_vs_Baseline;"3.746 [3.371; 4.12]";0;"-0.049 [-0.394; 0.297]";0.779;"0.007 [-0.741; 0.755]";0.985;"-0.046 [-0.737; 0.644]";0.894
