;intercept_estimate_CI;intercept_p;intercept_deprivation_CI;deprivation_p;intercept_older_CI;older_p;intercept_interaction_CI;interaction_p
Happy_vs_Angry;"-0.106 [-0.205; -0.008]";0.035;"0.097 [-0.1; 0.294]";0.329;"-0.032 [-0.229; 0.165]";0.744;"-0.181 [-0.575; 0.213]";0.362
Happy_vs_Neutral;"0.037 [-0.057; 0.132]";0.432;"-0.036 [-0.201; 0.129]";0.667;"0.021 [-0.168; 0.21]";0.828;"0.048 [-0.283; 0.378]";0.775
Angry_vs_Neutral;"0.144 [0.064; 0.224]";0.001;"-0.133 [-0.293; 0.027]";0.103;"0.053 [-0.107; 0.213]";0.512;"0.229 [-0.092; 0.549]";0.159
Happy_vs_Baseline;"0.788 [0.649; 0.927]";0;"0.029 [-0.144; 0.203]";0.736;"0.157 [-0.121; 0.435]";0.264;"-0.003 [-0.349; 0.344]";0.988
Angry_vs_Baseline;"0.894 [0.758; 1.03]";0;"-0.068 [-0.239; 0.104]";0.434;"0.189 [-0.082; 0.461]";0.168;"0.178 [-0.164; 0.521]";0.303
Neutral_vs_Baseline;"0.75 [0.648; 0.853]";0;"0.065 [-0.068; 0.199]";0.334;"0.136 [-0.069; 0.342]";0.19;"-0.05 [-0.318; 0.217]";0.709
Happy_and_Angry_vs_Baseline;"1.682 [1.419; 1.944]";0;"-0.038 [-0.299; 0.223]";0.771;"0.347 [-0.178; 0.871]";0.192;"0.176 [-0.346; 0.697]";0.504
All_vs_Baseline;"2.432 [2.081; 2.783]";0;"0.027 [-0.329; 0.383]";0.88;"0.483 [-0.219; 1.185]";0.174;"0.125 [-0.587; 0.838]";0.727
