set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,46,0.000,0.000,1183,0.000,0.000,0.000, 11.33,  Inf,0.000, 21,  42,-24,
,,,,,,0.000,0.000,  9.12,  Inf,0.000, 27,   3,-33,
,,,,,,0.000,0.000,  8.99,  Inf,0.000,  3,  51,-33,
,,0.000,0.000,290,0.000,0.000,0.000, 10.93,  Inf,0.000, 57, -63,-27,
,,,,,,0.000,0.000,  9.59,  Inf,0.000, 51, -72,-27,
,,,,,,0.000,0.000,  9.29,  Inf,0.000, 33, -84,-30,
,,0.000,0.000,53,0.000,0.000,0.000, 10.29,  Inf,0.000,-30, -42, 42,
,,0.000,0.000,362,0.000,0.000,0.000,  9.88,  Inf,0.000, 15, -42,-24,
,,,,,,0.000,0.000,  8.58,  Inf,0.000,  9, -24,-27,
,,,,,,0.000,0.000,  7.83, 7.31,0.000, -9, -24,-27,
,,0.000,0.000,48,0.000,0.000,0.000,  9.74,  Inf,0.000,  6, -36,  3,
,,,,,,0.000,0.000,  7.52, 7.06,0.000, -3, -42,  9,
,,0.000,0.000,132,0.000,0.000,0.000,  9.32,  Inf,0.000,-42,  48, 30,
,,,,,,0.000,0.000,  8.21, 7.62,0.000,-33,  54, 30,
,,,,,,0.000,0.000,  6.90, 6.53,0.000,-39,  57, 15,
,,0.000,0.000,145,0.000,0.000,0.000,  8.94,  Inf,0.000,-30, -90,-39,
,,,,,,0.000,0.001,  6.58, 6.26,0.000, -6, -93,-39,
,,,,,,0.000,0.003,  6.39, 6.10,0.000,-39, -87,-27,
,,0.000,0.000,365,0.000,0.000,0.000,  8.41, 7.77,0.000,-24,  -6,-48,
,,,,,,0.000,0.000,  7.75, 7.24,0.000,-27,   0,-36,
,,,,,,0.000,0.000,  7.07, 6.68,0.000,-24,  15,-36,
,,0.000,0.000,107,0.000,0.000,0.000,  8.38, 7.75,0.000,-15, -81, 51,
,,,,,,0.000,0.000,  6.86, 6.49,0.000,-30, -87, 39,
,,,,,,0.000,0.001,  6.73, 6.39,0.000, -9, -75, 60,
