set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,21,0.000,0.000,8885,0.000,0.000,0.000, 12.76,  Inf,0.000,-57,-42, 15,
,,,,,,0.000,0.000, 11.75,  Inf,0.000,-48, -6,  0,
,,,,,,0.000,0.000, 11.27,  Inf,0.000,-51,  3, 27,
,,0.000,0.000,2205,0.000,0.000,0.000,  9.75,  Inf,0.000, 54,-21, 12,
,,,,,,0.000,0.000,  9.62,  Inf,0.000, 45,-30, 15,
,,,,,,0.000,0.000,  8.97,  Inf,0.000, 42,  3,  0,
,,0.000,0.000,125,0.000,0.000,0.000,  7.70, 7.20,0.000, 57,-21, 36,
,,,,,,0.001,0.000,  5.85, 5.62,0.000, 48,-12, 33,
,,,,,,0.605,0.075,  4.12, 4.03,0.000, 51,-30, 51,
,,0.045,0.026,52,0.003,0.000,0.000,  6.55, 6.23,0.000,-30,-78, 24,
,,0.076,0.036,45,0.005,0.000,0.000,  6.40, 6.10,0.000,  3,-21,  0,
,,,,,,0.107,0.010,  4.71, 4.58,0.000,  3,-30, -9,
,,0.549,0.200,19,0.051,0.001,0.000,  5.80, 5.57,0.000, 33,-36,-21,
,,0.224,0.096,31,0.016,0.002,0.000,  5.68, 5.47,0.000,-30,-42,  0,
,,,,,,0.003,0.000,  5.54, 5.34,0.000,-36,-48, -6,
,,0.587,0.200,18,0.057,0.002,0.000,  5.59, 5.39,0.000,-24,-54, 12,
,,0.922,0.320,9,0.165,0.013,0.001,  5.23, 5.06,0.000, 27,-48,  9,
,,0.549,0.200,19,0.051,0.024,0.002,  5.09, 4.93,0.000,  6,-93, 18,
,,0.860,0.298,11,0.127,0.028,0.003,  5.06, 4.90,0.000, 39,-60, 33,
,,0.893,0.298,10,0.145,0.060,0.005,  4.86, 4.72,0.000,  0,-45,-39,
,,0.747,0.259,14,0.089,0.383,0.040,  4.31, 4.21,0.000, -9,-75,-36,
,,,,,,1.000,0.568,  3.37, 3.32,0.000,-21,-72,-39,
,,0.825,0.298,12,0.113,0.526,0.061,  4.18, 4.09,0.000, 54,-42,-24,
,,0.893,0.298,10,0.145,0.618,0.077,  4.11, 4.02,0.000, -3, -9,-15,
,,0.626,0.202,17,0.064,0.653,0.084,  4.08, 3.99,0.000,-12,-63, 51,
,,,,,,0.667,0.087,  4.07, 3.98,0.000,-24,-57, 48,
,,0.477,0.200,21,0.042,0.706,0.095,  4.03, 3.95,0.000, 42,-48,-21,
,,0.990,0.493,5,0.296,0.772,0.112,  3.97, 3.89,0.000, 12,-87, 12,
,,0.893,0.298,10,0.145,0.784,0.116,  3.96, 3.88,0.000, 36,-42, -3,
,,0.946,0.348,8,0.189,0.849,0.141,  3.90, 3.82,0.000, 48,  0,-39,
,,0.980,0.442,6,0.253,0.996,0.387,  3.53, 3.47,0.000, 45,-66,-12,
,,,,,,0.999,0.485,  3.44, 3.38,0.000, 51,-60, -9,
