set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.001,93,0.000,0.000,0.000,  8.11, 7.55,0.000, 42,-54, 54,
,,,,,,0.000,0.000,  6.90, 6.54,0.000, 36,-69, 45,
,,0.000,0.000,119,0.000,0.000,0.000,  7.70, 7.21,0.000, 45, 27, 30,
,,,,,,0.000,0.000,  5.71, 5.49,0.000, 39, 15, 45,
,,0.000,0.001,83,0.000,0.000,0.000,  7.34, 6.91,0.000, 24, 24, 54,
,,0.008,0.030,33,0.011,0.000,0.000,  5.90, 5.67,0.000,-30,-60,-39,
,,0.010,0.031,30,0.014,0.000,0.000,  5.84, 5.61,0.000, 12,  6, 15,
,,,,,,0.020,0.032,  4.27, 4.18,0.000,  6, -3,  9,
,,0.053,0.122,14,0.077,0.000,0.001,  5.24, 5.07,0.000, -9,-78,-33,
,,0.088,0.178,10,0.130,0.000,0.001,  5.20, 5.04,0.000, 36, 51,  0,
,,0.047,0.122,15,0.069,0.002,0.003,  4.92, 4.78,0.000, 30, 60,  9,
