set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,54,0.000,0.000,0.000,  8.11, 7.55,0.000, 42,-54, 54,
,,,,,,0.000,0.000,  6.90, 6.54,0.000, 36,-69, 45,
,,0.000,0.000,82,0.000,0.000,0.000,  7.70, 7.21,0.000, 45, 27, 30,
,,,,,,0.000,0.002,  5.71, 5.49,0.000, 39, 15, 45,
,,0.000,0.000,57,0.000,0.000,0.000,  7.34, 6.91,0.000, 24, 24, 54,
,,0.000,0.013,20,0.005,0.000,0.001,  5.90, 5.67,0.000,-30,-60,-39,
,,0.001,0.032,14,0.015,0.000,0.001,  5.84, 5.61,0.000, 12,  6, 15,
,,0.005,0.142,6,0.090,0.000,0.013,  5.24, 5.07,0.000, -9,-78,-33,
,,0.004,0.127,7,0.069,0.000,0.014,  5.20, 5.04,0.000, 36, 51,  0,
