set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,68,0.000,0.000,0.000,  9.45,  Inf,0.000,-33,21,  3,
,,,,,,0.000,0.000,  9.06,  Inf,0.000,-51,12, -3,
,,0.000,0.000,149,0.000,0.000,0.000,  8.35, 7.74,0.000,  0,18, 45,
,,,,,,0.000,0.000,  7.69, 7.20,0.000,  0,12, 57,
,,,,,,0.000,0.000,  6.72, 6.38,0.000, -3,33, 36,
,,0.000,0.000,45,0.000,0.000,0.000,  7.13, 6.73,0.000, 45,18, -9,
,,,,,,0.000,0.004,  6.05, 5.80,0.000, 36,21,  3,
,,,,,,0.000,0.006,  5.95, 5.71,0.000, 51,15, -3,
,,0.000,0.031,6,0.021,0.000,0.000,  6.68, 6.35,0.000, -9, 3, 72,
