set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.000,0.000,86,0.000,0.000,0.000,  9.45,  Inf,0.000,-33, 21,  3,
,,,,,,0.000,0.000,  9.06,  Inf,0.000,-51, 12, -3,
,,0.000,0.000,366,0.000,0.000,0.000,  8.35, 7.74,0.000,  0, 18, 45,
,,,,,,0.000,0.000,  7.69, 7.20,0.000,  0, 12, 57,
,,,,,,0.000,0.000,  6.72, 6.38,0.000, -3, 33, 36,
,,0.000,0.000,82,0.000,0.000,0.000,  7.13, 6.73,0.000, 45, 18, -9,
,,,,,,0.000,0.000,  6.05, 5.80,0.000, 36, 21,  3,
,,,,,,0.000,0.000,  5.95, 5.71,0.000, 51, 15, -3,
,,0.005,0.011,33,0.005,0.001,0.002,  5.01, 4.86,0.000,-27, 45, 33,
,,,,,,0.006,0.008,  4.66, 4.54,0.000,-27, 42, 18,
,,0.007,0.012,30,0.007,0.004,0.006,  4.75, 4.63,0.000, 66,-36, 36,
,,0.205,0.300,5,0.225,0.158,0.191,  3.74, 3.68,0.000, 60,-24, 45,
