set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.009,10,0.019,0.032,86,0.002,0.041,0.099,  4.86, 4.72,0.000, -3,  60,-18,
,,,,,,0.439,0.426,  4.14, 4.05,0.000, -9,  63, -9,
,,0.826,0.332,13,0.166,0.381,0.426,  4.20, 4.11,0.000, 12,  15, 18,
,,0.826,0.332,13,0.166,0.513,0.426,  4.07, 3.99,0.000,  6,  39, 60,
,,0.589,0.332,21,0.084,0.619,0.457,  3.98, 3.91,0.000,-42,  18, 48,
,,0.768,0.332,15,0.139,0.811,0.584,  3.81, 3.74,0.000, 36, -18,-39,
,,0.311,0.318,33,0.035,0.861,0.584,  3.75, 3.69,0.000,-21,  27, 45,
,,,,,,0.989,0.633,  3.46, 3.41,0.000,-15,  33, 39,
,,,,,,1.000,0.887,  3.25, 3.20,0.001, -6,  33, 36,
,,0.648,0.332,19,0.099,0.920,0.599,  3.67, 3.61,0.000,-21, -99,-12,
,,0.798,0.332,14,0.151,0.945,0.615,  3.62, 3.56,0.000,-60, -15,-24,
,,0.561,0.332,22,0.078,0.956,0.615,  3.60, 3.54,0.000,-18,  66, 21,
,,,,,,0.975,0.625,  3.54, 3.48,0.000,-15,  72, 12,
,,,,,,0.987,0.633,  3.48, 3.42,0.000,-12,  66,  6,
,,0.983,0.696,5,0.387,0.987,0.633,  3.48, 3.42,0.000, 45,  30, -3,
