set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.127,0.174,49,0.013,0.159,0.454,  4.48, 4.38,0.000,  0, 57, 36,
,,,,,,0.658,0.458,  3.95, 3.88,0.000, -3, 66, 27,
,,0.925,0.662,9,0.245,0.268,0.454,  4.32, 4.22,0.000, 54,  0, 18,
,,0.005,0.014,113,0.001,0.435,0.454,  4.14, 4.06,0.000, 54,-27,-12,
,,,,,,0.486,0.454,  4.10, 4.01,0.000, 69,-30,-15,
,,,,,,0.807,0.510,  3.81, 3.75,0.000, 69,-36, -6,
,,0.410,0.450,28,0.050,0.598,0.458,  4.00, 3.92,0.000,  3, 66,-12,
,,,,,,0.999,0.936,  3.28, 3.23,0.001, -9, 66,-12,
,,0.738,0.572,16,0.127,0.697,0.458,  3.92, 3.84,0.000, 21, 39, 51,
,,0.648,0.572,19,0.099,0.786,0.510,  3.84, 3.77,0.000, 30, 63,  0,
,,0.738,0.572,16,0.127,0.872,0.584,  3.74, 3.68,0.000,  6, 72,  9,
,,0.798,0.584,14,0.151,0.938,0.724,  3.64, 3.58,0.000, 60,  3,-27,
,,,,,,0.999,0.936,  3.32, 3.28,0.001, 48, -9,-24,
,,0.973,0.710,6,0.342,0.949,0.724,  3.61, 3.55,0.000, 54,  0,-42,
,,0.879,0.601,11,0.200,0.983,0.845,  3.50, 3.45,0.000, 36, 30, 27,
,,0.854,0.601,12,0.182,0.993,0.896,  3.43, 3.38,0.000,-12, 72,  9,
,,0.960,0.685,7,0.305,0.993,0.896,  3.43, 3.38,0.000,-45, 27, -9,
,,0.960,0.685,7,0.305,0.997,0.936,  3.36, 3.31,0.000,-57,-33,-12,
