set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.005,64,0.001,0.000,0.000,  7.28, 6.86,0.000,-45,-48, 42,
,,,,,,0.004,0.014,  4.60, 4.49,0.000,-42,-51, 33,
,,0.001,0.007,50,0.003,0.000,0.000,  6.62, 6.30,0.000,-42, 42,  3,
,,0.000,0.005,72,0.001,0.000,0.000,  6.50, 6.20,0.000,-24, 27, 48,
,,,,,,0.002,0.007,  4.81, 4.68,0.000, -3, 33, 45,
,,,,,,0.163,0.458,  3.48, 3.43,0.000,-15, 42, 45,
,,0.001,0.005,58,0.001,0.000,0.000,  5.63, 5.42,0.000,-36,-66, 48,
,,,,,,0.001,0.003,  5.02, 4.87,0.000,-27,-75, 45,
,,,,,,0.013,0.041,  4.28, 4.19,0.000,-33,-63, 36,
,,0.037,0.175,14,0.079,0.001,0.003,  5.06, 4.90,0.000,-30,  9, 57,
