set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,22,0.000,0.000,83,0.000,0.000,0.000,  8.64,  Inf,0.000,  6,-24,  9,
,,,,,,0.000,0.004,  6.39, 6.10,0.000,  6,-33,  3,
,,0.000,0.000,71,0.000,0.000,0.000,  7.53, 7.07,0.000, 48, 21, 33,
,,,,,,0.001,0.040,  5.79, 5.57,0.000, 42, 12, 45,
,,0.000,0.000,38,0.000,0.000,0.000,  7.50, 7.05,0.000,-66,-18, 15,
,,0.000,0.000,38,0.000,0.000,0.000,  7.50, 7.04,0.000,  3, 30, 39,
,,0.000,0.001,17,0.000,0.000,0.000,  7.32, 6.90,0.000, 42,-54, 54,
,,0.000,0.000,55,0.000,0.000,0.000,  7.31, 6.89,0.000,-42,-54, 30,
,,0.000,0.009,9,0.005,0.000,0.000,  7.13, 6.73,0.000, 36,-60, 33,
,,0.000,0.003,13,0.001,0.000,0.000,  7.12, 6.73,0.000,-42,-63, 48,
,,0.000,0.000,64,0.000,0.000,0.000,  6.93, 6.56,0.000, 24, 24, 54,
,,0.000,0.001,15,0.001,0.000,0.001,  6.81, 6.46,0.000,  6,-93, 33,
,,,,,,0.001,0.033,  5.86, 5.63,0.000,  3,-96, 21,
,,0.000,0.000,23,0.000,0.000,0.001,  6.72, 6.38,0.000, 27,-72, 48,
,,,,,,0.000,0.012,  6.09, 5.84,0.000, 36,-69, 45,
,,0.000,0.000,38,0.000,0.000,0.002,  6.52, 6.21,0.000,  9,  9, 12,
,,0.000,0.000,41,0.000,0.000,0.005,  6.32, 6.03,0.000, 18, 57, 30,
,,0.000,0.000,39,0.000,0.000,0.006,  6.26, 5.98,0.000, 42,-84, 24,
,,0.000,0.006,10,0.004,0.000,0.006,  6.25, 5.98,0.000,-30,-30, 12,
,,0.000,0.000,21,0.000,0.000,0.006,  6.25, 5.97,0.000, 27, 60,  6,
,,0.000,0.006,10,0.004,0.000,0.012,  6.10, 5.84,0.000,  0,-27, 48,
,,0.001,0.019,7,0.012,0.001,0.040,  5.80, 5.57,0.000,-60,  3, 21,
,,0.000,0.006,10,0.004,0.001,0.055,  5.71, 5.49,0.000,  0,-39, 57,
,,0.001,0.028,6,0.018,0.001,0.055,  5.71, 5.49,0.000,-30,-60,-39,
,,0.001,0.040,5,0.029,0.002,0.059,  5.68, 5.47,0.000, 36,-81,-24,
,,0.001,0.040,5,0.029,0.022,0.538,  5.13, 4.97,0.000, 42, 18, -9,
