set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,14,0.000,0.000,56,0.000,0.000,0.000,  8.64,  Inf,0.000,  6,-24, 9,
,,,,,,0.000,0.023,  6.39, 6.10,0.000,  6,-33, 3,
,,0.000,0.000,37,0.000,0.000,0.000,  7.53, 7.07,0.000, 48, 21,33,
,,0.000,0.000,27,0.000,0.000,0.000,  7.50, 7.05,0.000,-66,-18,15,
,,0.000,0.000,29,0.000,0.000,0.000,  7.50, 7.04,0.000,  3, 30,39,
,,0.000,0.006,8,0.003,0.000,0.000,  7.32, 6.90,0.000, 42,-54,54,
,,0.000,0.000,37,0.000,0.000,0.000,  7.31, 6.89,0.000,-42,-54,30,
,,0.000,0.025,5,0.014,0.000,0.001,  7.13, 6.73,0.000, 36,-60,33,
,,0.000,0.004,9,0.002,0.000,0.001,  7.12, 6.73,0.000,-42,-63,48,
,,0.000,0.000,38,0.000,0.000,0.002,  6.93, 6.56,0.000, 24, 24,54,
,,0.000,0.004,9,0.002,0.000,0.005,  6.72, 6.38,0.000, 27,-72,48,
,,,,,,0.000,0.071,  6.09, 5.84,0.000, 36,-69,45,
,,0.000,0.000,20,0.000,0.000,0.013,  6.52, 6.21,0.000,  9,  9,12,
,,0.000,0.000,25,0.000,0.000,0.031,  6.32, 6.03,0.000, 18, 57,30,
,,0.000,0.000,17,0.000,0.000,0.037,  6.26, 5.98,0.000, 42,-84,24,
,,0.000,0.009,7,0.005,0.000,0.037,  6.25, 5.97,0.000, 27, 60, 6,
