set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,43,0.000,0.000,468,0.000,0.000,0.000,  8.64,  Inf,0.000,  6,-24,  9,
,,,,,,0.000,0.000,  6.52, 6.21,0.000,  9,  9, 12,
,,,,,,0.000,0.000,  6.39, 6.10,0.000,  6,-33,  3,
,,0.000,0.000,229,0.000,0.000,0.000,  7.53, 7.07,0.000, 48, 21, 33,
,,,,,,0.001,0.000,  5.79, 5.57,0.000, 42, 12, 45,
,,,,,,0.950,0.252,  3.81, 3.74,0.000, 36,  3, 36,
,,0.000,0.000,604,0.000,0.000,0.000,  7.50, 7.05,0.000,-66,-18, 15,
,,,,,,0.000,0.000,  7.31, 6.89,0.000,-42,-54, 30,
,,,,,,0.000,0.000,  7.12, 6.73,0.000,-42,-63, 48,
,,0.000,0.000,783,0.000,0.000,0.000,  7.50, 7.04,0.000,  3, 30, 39,
,,,,,,0.000,0.000,  6.93, 6.56,0.000, 24, 24, 54,
,,,,,,0.000,0.000,  6.32, 6.03,0.000, 18, 57, 30,
,,0.000,0.000,359,0.000,0.000,0.000,  7.32, 6.90,0.000, 42,-54, 54,
,,,,,,0.000,0.000,  7.13, 6.73,0.000, 36,-60, 33,
,,,,,,0.000,0.000,  6.72, 6.38,0.000, 27,-72, 48,
,,0.000,0.000,104,0.000,0.000,0.000,  6.81, 6.46,0.000,  6,-93, 33,
,,,,,,0.001,0.000,  5.86, 5.63,0.000,  3,-96, 21,
,,,,,,0.001,0.000,  5.79, 5.57,0.000,  6,-75, 33,
,,0.010,0.004,63,0.001,0.000,0.000,  6.25, 5.98,0.000,-30,-30, 12,
,,,,,,0.929,0.230,  3.85, 3.78,0.000,-36,-27, -3,
,,,,,,0.999,0.526,  3.50, 3.45,0.000,-42,-24, 15,
,,0.000,0.000,202,0.000,0.000,0.000,  6.10, 5.84,0.000,  0,-27, 48,
,,,,,,0.001,0.001,  5.71, 5.49,0.000,  0,-39, 57,
,,,,,,0.148,0.024,  4.66, 4.54,0.000, -9,-36, 51,
,,0.118,0.028,34,0.007,0.001,0.001,  5.71, 5.49,0.000,-30,-60,-39,
