set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.919,2,0.820,0.713,13,0.154,0.833,0.964,  3.80, 3.74,0.000,-36,-75,-57,
,,0.984,0.713,5,0.372,0.997,0.988,  3.38, 3.34,0.000,-12,-36,-15,
