"","intercept_estimate_CI","intercept_p","intercept_deprivation_CI","deprivation_p","intercept_older_CI","older_p","intercept_interaction_CI","interaction_p"
"Happy_vs_Angry","-0.019 [-0.116, 0.078]",0.695,"0.163 [-0.03, 0.356]",0.097,"-0.083 [-0.276, 0.11]",0.396,"0.07 [-0.316, 0.457]",0.718
"Happy_vs_Neutral","0.043 [-0.036, 0.122]",0.282,"0.025 [-0.125, 0.174]",0.744,"0.01 [-0.148, 0.168]",0.9,"0.066 [-0.233, 0.364]",0.663
"Angry_vs_Neutral","0.062 [-0.021, 0.145]",0.143,"-0.138 [-0.304, 0.028]",0.103,"0.094 [-0.072, 0.259]",0.265,"-0.006 [-0.338, 0.326]",0.97
"Happy_vs_Baseline","0.324 [0.248, 0.401]",0,"0.062 [-0.091, 0.216]",0.423,"-0.123 [-0.276, 0.03]",0.114,"-0.017 [-0.324, 0.29]",0.911
"Angry_vs_Baseline","0.344 [0.267, 0.42]",0,"-0.101 [-0.253, 0.051]",0.191,"-0.04 [-0.192, 0.112]",0.601,"-0.088 [-0.392, 0.217]",0.567
"Neutral_vs_Baseline","0.282 [0.213, 0.35]",0,"0.037 [-0.093, 0.168]",0.572,"-0.133 [-0.27, 0.004]",0.056,"-0.082 [-0.343, 0.179]",0.532
"Happy_and_Angry_vs_Baseline","0.668 [0.55, 0.786]",0,"-0.039 [-0.276, 0.198]",0.744,"-0.163 [-0.4, 0.074]",0.174,"-0.105 [-0.579, 0.369]",0.659
"All_vs_Baseline","0.95 [0.787, 1.113]",0,"-0.002 [-0.326, 0.322]",0.989,"-0.297 [-0.622, 0.029]",0.073,"-0.187 [-0.835, 0.461]",0.568
