set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,59,0.000,0.000,0.000,  7.92, 7.39,0.000,-51,-57,  9,
,,0.000,0.010,11,0.003,0.000,0.004,  6.28, 6.00,0.000,-63,-48, 18,
,,0.000,0.018,8,0.009,0.000,0.005,  6.12, 5.86,0.000, 57,-48, 27,
,,0.000,0.007,13,0.001,0.000,0.005,  6.11, 5.85,0.000, 57,-36, -3,
,,,,,,0.000,0.037,  5.60, 5.39,0.000, 51,-27, -6,
,,0.000,0.018,8,0.009,0.000,0.014,  5.88, 5.65,0.000,-45,-39, 57,
,,0.000,0.033,6,0.020,0.000,0.014,  5.86, 5.63,0.000, 51, 18, 27,
,,0.000,0.045,5,0.031,0.001,0.199,  5.18, 5.02,0.000,-54,-42, -3,
