set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,155,0.000,0.000,0.000,  7.92, 7.39,0.000,-51,-57,  9,
,,,,,,0.000,0.000,  6.28, 6.00,0.000,-63,-48, 18,
,,0.000,0.000,134,0.000,0.000,0.000,  6.12, 5.86,0.000, 57,-48, 27,
,,,,,,0.000,0.000,  6.11, 5.85,0.000, 57,-36, -3,
,,,,,,0.000,0.000,  5.66, 5.45,0.000, 45,-36,  0,
,,0.011,0.026,28,0.009,0.000,0.000,  5.88, 5.65,0.000,-45,-39, 57,
,,,,,,0.148,0.151,  3.80, 3.73,0.000,-42,-51, 57,
,,0.052,0.107,15,0.046,0.000,0.000,  5.86, 5.63,0.000, 51, 18, 27,
,,0.011,0.026,28,0.009,0.001,0.002,  5.18, 5.02,0.000,-54,-42, -3,
,,,,,,0.058,0.072,  4.09, 4.01,0.000,-45,-45,  0,
,,0.005,0.021,35,0.004,0.001,0.002,  5.13, 4.98,0.000,-48, 18, 21,
,,0.231,0.375,5,0.227,0.017,0.023,  4.45, 4.34,0.000, 39,-75,-24,
,,0.121,0.223,9,0.112,0.085,0.096,  3.98, 3.90,0.000, 18,-75,-48,
