set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,9,0.000,0.000,85,0.000,0.000,0.000,  7.92, 7.39,0.000,-51,-57,  9,
,,0.000,0.007,16,0.003,0.000,0.000,  6.28, 6.00,0.000,-63,-48, 18,
,,0.000,0.003,22,0.001,0.000,0.001,  6.12, 5.86,0.000, 57,-48, 27,
,,0.000,0.000,34,0.000,0.000,0.001,  6.11, 5.85,0.000, 57,-36, -3,
,,,,,,0.000,0.004,  5.66, 5.45,0.000, 45,-36,  0,
,,,,,,0.000,0.004,  5.60, 5.39,0.000, 51,-27, -6,
,,0.000,0.006,18,0.002,0.000,0.002,  5.88, 5.65,0.000,-45,-39, 57,
,,0.001,0.038,8,0.028,0.000,0.002,  5.86, 5.63,0.000, 51, 18, 27,
,,0.002,0.046,7,0.038,0.000,0.018,  5.27, 5.10,0.000, 51,-48, 12,
,,0.001,0.019,11,0.012,0.001,0.024,  5.18, 5.02,0.000,-54,-42, -3,
,,0.000,0.013,13,0.007,0.001,0.027,  5.13, 4.98,0.000,-48, 18, 21,
