set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,45,0.000,0.000,426,0.000,0.000,0.000,  8.29, 7.69,0.000,-30, 45, 18,
,,,,,,0.000,0.001,  5.95, 5.71,0.000,  3, 33, 21,
,,,,,,0.003,0.003,  5.56, 5.36,0.000, -6, 30, 21,
,,0.000,0.000,416,0.000,0.000,0.001,  6.02, 5.77,0.000,-12,-69, 30,
,,,,,,0.001,0.001,  5.86, 5.63,0.000,-18,-57, 21,
,,,,,,0.003,0.003,  5.58, 5.38,0.000,  3,-45, 18,
,,0.018,0.009,49,0.001,0.000,0.001,  5.97, 5.72,0.000, 30, 36, 54,
,,,,,,0.037,0.013,  5.03, 4.88,0.000, 30, 45, 42,
,,0.000,0.000,139,0.000,0.002,0.003,  5.65, 5.44,0.000,-12,-75,  6,
,,,,,,0.047,0.015,  4.98, 4.84,0.000,-15,-72, -3,
,,,,,,0.235,0.053,  4.58, 4.46,0.000, -6,-81, -3,
,,0.000,0.000,120,0.000,0.002,0.003,  5.62, 5.41,0.000,-39,-63, 51,
,,,,,,0.017,0.009,  5.20, 5.04,0.000,-21,-72, 54,
,,,,,,0.640,0.146,  4.20, 4.11,0.000,-27,-60, 60,
,,0.053,0.024,38,0.003,0.004,0.004,  5.49, 5.29,0.000,-42, 15, -9,
,,0.169,0.046,27,0.008,0.008,0.006,  5.36, 5.18,0.000,-54,-54,  0,
,,0.581,0.143,15,0.040,0.013,0.007,  5.25, 5.08,0.000, -3,-39,-63,
,,0.003,0.003,67,0.000,0.013,0.007,  5.25, 5.08,0.000, 15,-72,  9,
,,,,,,0.020,0.009,  5.17, 5.00,0.000,  6,-69,  3,
,,,,,,0.749,0.189,  4.11, 4.02,0.000, 12,-81,  0,
,,0.018,0.009,49,0.001,0.040,0.014,  5.01, 4.87,0.000,  6, 18, 54,
,,0.010,0.007,55,0.000,0.055,0.016,  4.95, 4.81,0.000,-42,-72, -3,
,,0.437,0.103,18,0.026,0.161,0.040,  4.69, 4.57,0.000,-63,-39,  6,
,,0.530,0.129,16,0.035,0.169,0.040,  4.68, 4.55,0.000, 45, -9, 57,
,,0.234,0.062,24,0.012,0.171,0.040,  4.67, 4.55,0.000, 63,-48,  6,
,,,,,,0.999,0.500,  3.59, 3.53,0.000, 57,-45, 15,
,,0.081,0.028,34,0.004,0.238,0.053,  4.57, 4.46,0.000, 27,-12,-18,
,,,,,,0.896,0.248,  3.95, 3.88,0.000, 33,-24,-15,
,,0.111,0.031,31,0.005,0.255,0.055,  4.55, 4.44,0.000,-15,-51,-42,
,,,,,,0.350,0.073,  4.45, 4.34,0.000,  0,-57,-33,
,,0.743,0.191,12,0.062,0.282,0.061,  4.52, 4.41,0.000,  9, 66,-18,
,,,,,,1.000,0.628,  3.43, 3.38,0.000,  6, 57,-18,
,,0.099,0.029,32,0.005,0.300,0.063,  4.50, 4.39,0.000,-18, 21, 60,
,,0.321,0.076,21,0.018,0.322,0.067,  4.48, 4.37,0.000, 42,-63,-39,
,,,,,,0.991,0.386,  3.71, 3.65,0.000, 39,-72,-36,
,,0.090,0.028,33,0.004,0.613,0.138,  4.22, 4.13,0.000,-48,-39, 57,
,,,,,,0.835,0.218,  4.03, 3.95,0.000,-45,-30, 54,
,,0.065,0.027,36,0.003,0.764,0.193,  4.10, 4.01,0.000,-27,-18,-18,
,,0.635,0.159,14,0.046,0.784,0.196,  4.08, 3.99,0.000, 60, 15, 21,
,,0.978,0.356,6,0.174,0.825,0.215,  4.04, 3.96,0.000, 30, 51, 33,
,,0.928,0.313,8,0.120,0.826,0.215,  4.04, 3.96,0.000, 33, 15, 15,
,,0.289,0.075,22,0.016,0.852,0.227,  4.01, 3.93,0.000,-15, 24, -9,
,,,,,,1.000,0.628,  3.44, 3.38,0.000,-15, 15, -3,
,,0.321,0.076,21,0.018,0.869,0.234,  3.99, 3.91,0.000, 54,-69, 30,
,,,,,,0.911,0.257,  3.93, 3.86,0.000, 45,-78, 39,
,,,,,,0.944,0.276,  3.88, 3.81,0.000, 39,-78, 45,
,,0.689,0.177,13,0.053,0.874,0.234,  3.98, 3.91,0.000,  6, -6,-21,
,,0.890,0.290,9,0.101,0.875,0.234,  3.98, 3.90,0.000,-45,-57,-42,
,,0.957,0.326,7,0.144,0.898,0.248,  3.95, 3.88,0.000, 60, 15,  6,
,,0.990,0.406,5,0.212,0.942,0.276,  3.88, 3.81,0.000, 51,-45,  0,
,,0.437,0.103,18,0.026,0.944,0.276,  3.88, 3.80,0.000, -3,-48, 66,
,,,,,,0.998,0.481,  3.62, 3.56,0.000, -6,-39, 72,
,,0.743,0.191,12,0.062,0.962,0.304,  3.84, 3.77,0.000,-12,-78,-39,
,,0.957,0.326,7,0.144,0.970,0.321,  3.81, 3.74,0.000, 30,-36, -6,
,,0.928,0.313,8,0.120,0.981,0.344,  3.77, 3.70,0.000,-36,-30, 18,
,,0.846,0.254,10,0.086,0.988,0.370,  3.73, 3.67,0.000, 24,-75,-42,
,,0.990,0.406,5,0.212,0.995,0.431,  3.67, 3.61,0.000,-42,-51,  6,
,,0.978,0.356,6,0.174,0.997,0.449,  3.65, 3.59,0.000, 51, 39, 15,
,,0.081,0.028,34,0.004,0.999,0.500,  3.59, 3.53,0.000,  3, 33, 63,
,,,,,,0.999,0.500,  3.59, 3.53,0.000, -3, 27, 60,
,,,,,,1.000,0.602,  3.48, 3.43,0.000, -3, 36, 57,
,,0.957,0.326,7,0.144,0.999,0.505,  3.58, 3.52,0.000,-48, 24, 24,
,,0.978,0.356,6,0.174,0.999,0.517,  3.56, 3.51,0.000, 24, 54,  0,
,,0.957,0.326,7,0.144,0.999,0.529,  3.55, 3.49,0.000, 63,-51, -6,
,,0.990,0.406,5,0.212,1.000,0.565,  3.51, 3.46,0.000,-48,-45, 18,
,,0.928,0.313,8,0.120,1.000,0.602,  3.48, 3.43,0.000, 30, 66, -9,
,,,,,,1.000,0.768,  3.28, 3.24,0.001, 21, 63, -6,
,,0.957,0.326,7,0.144,1.000,0.628,  3.43, 3.38,0.000,  6, 12, 72,
,,0.978,0.356,6,0.174,1.000,0.635,  3.42, 3.37,0.000, 15, 18,  9,
