set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,136,0.000,0.000,0.000, 10.55,  Inf,0.000,  9,-51,  0,
,,,,,,0.000,0.001,  7.29, 6.87,0.000, -9,-66, 12,
,,,,,,0.000,0.002,  7.08, 6.69,0.000, 15,-60, 12,
,,0.000,0.000,69,0.000,0.000,0.002,  7.10, 6.71,0.000,  0,-60, 42,
,,,,,,0.000,0.010,  6.62, 6.30,0.000,  6,-51, 36,
,,,,,,0.000,0.024,  6.38, 6.09,0.000,  3,-51, 51,
,,0.000,0.000,19,0.000,0.000,0.010,  6.65, 6.32,0.000, 18, 63, 12,
,,0.000,0.002,10,0.001,0.000,0.036,  6.24, 5.97,0.000, 24,-75,-15,
,,0.000,0.002,9,0.001,0.000,0.053,  6.15, 5.88,0.000,-33,-75, 24,
