set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,435,0.000,0.000,0.000, 12.29,  Inf,0.000,  3,-75,30,
,,,,,,0.000,0.000,  8.30, 7.69,0.000, -6,-24,27,
,,,,,,0.000,0.000,  8.08, 7.52,0.000, -3,-39,21,
,,0.001,0.002,71,0.000,0.000,0.001,  5.43, 5.24,0.000,  0, 33,21,
,,,,,,0.032,0.032,  4.38, 4.27,0.000,  3, 42, 9,
,,,,,,0.130,0.118,  3.96, 3.88,0.000, -6, 39, 9,
,,0.003,0.008,49,0.002,0.105,0.104,  4.03, 3.95,0.000, 39,-78,33,
,,0.194,0.372,9,0.135,0.121,0.114,  3.98, 3.90,0.000,-39,-63,48,
,,0.338,0.569,5,0.259,0.152,0.133,  3.90, 3.83,0.000, 30, 36,45,
