set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.007,0.036,41,0.004,0.000,0.000,  6.19, 5.92,0.000,  9,-51, 45,
,,0.117,0.374,13,0.078,0.000,0.001,  5.78, 5.56,0.000,-48,-69, 39,
,,0.007,0.036,40,0.004,0.029,0.090,  4.40, 4.30,0.000, -6, 51, -3,
,,,,,,0.690,0.820,  3.25, 3.20,0.001,  3, 45,-15,
,,0.293,0.579,6,0.217,0.030,0.090,  4.39, 4.29,0.000,-24,-18,-18,
,,0.170,0.374,10,0.117,0.172,0.282,  3.86, 3.79,0.000,  0, -9,  6,
,,0.170,0.374,10,0.117,0.328,0.430,  3.63, 3.57,0.000,  3, 60, 27,
