set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,9,0.000,0.000,42,0.000,0.000,0.004,  6.74, 6.40,0.000, 30, -6,66,
,,,,,,0.003,0.175,  5.58, 5.38,0.000, 39, -6,60,
,,,,,,0.004,0.188,  5.49, 5.30,0.000, 21, -3,72,
,,0.000,0.001,14,0.000,0.000,0.010,  6.43, 6.13,0.000, 48,  6,39,
,,0.000,0.001,16,0.000,0.000,0.013,  6.33, 6.05,0.000,-18, 30, 3,
,,0.001,0.024,6,0.010,0.000,0.020,  6.19, 5.92,0.000,-30, 63,21,
,,0.000,0.001,14,0.000,0.000,0.020,  6.15, 5.89,0.000, 21, 30, 6,
,,0.001,0.024,6,0.010,0.001,0.146,  5.70, 5.48,0.000,  9,  6,42,
,,0.000,0.024,7,0.006,0.002,0.169,  5.62, 5.41,0.000, 57,  6, 3,
,,0.001,0.024,6,0.010,0.005,0.193,  5.47, 5.28,0.000,  9, -3,48,
,,0.001,0.037,5,0.017,0.012,0.367,  5.28, 5.11,0.000, 21,-15,24,
