set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.317,6,0.781,0.272,11,0.066,0.790,0.305,  4.09, 4.00,0.000,  0, -9,-33,
,,0.976,0.272,6,0.163,0.857,0.305,  4.02, 3.94,0.000, -3, 45,-21,
,,0.976,0.272,6,0.163,0.978,0.305,  3.80, 3.73,0.000,-33,  0, 45,
,,0.976,0.272,6,0.163,0.985,0.305,  3.77, 3.71,0.000,-24,-24,-30,
,,0.922,0.272,8,0.111,0.985,0.305,  3.77, 3.70,0.000, 27,-72, -9,
,,0.834,0.272,10,0.078,0.999,0.440,  3.59, 3.53,0.000, 12,-78, -6,
