set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,44,0.000,0.000,505,0.000,0.000,0.000,  9.36,  Inf,0.000,-45, 21, 21,
,,,,,,0.000,0.000,  8.72,  Inf,0.000,-42,  3, 27,
,,,,,,0.000,0.000,  7.30, 6.88,0.000,-51,  6, 27,
,,0.000,0.000,177,0.000,0.000,0.000,  8.64,  Inf,0.000,-21, 60, 12,
,,0.000,0.000,141,0.000,0.000,0.000,  8.28, 7.68,0.000,-45,-57,-24,
,,0.000,0.000,662,0.000,0.000,0.000,  7.86, 7.35,0.000,-45,-45, 36,
,,,,,,0.000,0.000,  7.45, 7.01,0.000,-30,-78, 21,
,,,,,,0.000,0.000,  7.29, 6.87,0.000,-21,-69, 27,
,,0.000,0.000,106,0.000,0.000,0.000,  6.68, 6.35,0.000,-33, -6, 66,
,,,,,,0.142,0.022,  4.73, 4.60,0.000,-33,  6, 57,
,,0.000,0.000,130,0.000,0.000,0.000,  6.09, 5.83,0.000, 66,-51, 24,
,,,,,,0.013,0.005,  5.25, 5.08,0.000, 54,-69, 36,
,,,,,,0.448,0.073,  4.36, 4.26,0.000, 66,-39, 15,
,,0.000,0.000,116,0.000,0.000,0.000,  5.91, 5.68,0.000, -3, 12, 24,
,,,,,,0.013,0.005,  5.25, 5.08,0.000, -3,  0, 27,
,,,,,,0.047,0.010,  4.98, 4.84,0.000, -6, 15,  3,
,,0.000,0.000,239,0.000,0.000,0.000,  5.91, 5.67,0.000,-24, 27, 48,
,,,,,,0.002,0.001,  5.64, 5.43,0.000,  0, 21, 48,
,,,,,,0.091,0.017,  4.84, 4.70,0.000,-15, 45, 36,
,,0.005,0.002,63,0.000,0.004,0.002,  5.49, 5.30,0.000, -3,-24, 12,
,,0.000,0.000,221,0.000,0.007,0.003,  5.38, 5.20,0.000, 48,  3, 24,
,,,,,,0.026,0.007,  5.11, 4.95,0.000, 45, 18, 27,
,,,,,,0.042,0.009,  5.01, 4.86,0.000, 39, 24, 21,
,,0.020,0.006,48,0.001,0.008,0.004,  5.35, 5.17,0.000, 48,-39,  3,
,,0.234,0.056,24,0.012,0.015,0.005,  5.23, 5.06,0.000, 36, 42, 42,
,,,,,,1.000,0.489,  3.52, 3.47,0.000, 27, 51, 42,
,,,,,,1.000,0.539,  3.47, 3.42,0.000, 18, 57, 39,
,,0.531,0.109,16,0.035,0.020,0.006,  5.17, 5.01,0.000,  6,-75,-33,
,,0.004,0.001,66,0.000,0.023,0.006,  5.14, 4.98,0.000,-54,-57, -6,
