set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,57,0.000,0.000,0.000,  7.53, 7.07,0.000, 12,-60, 57,
,,,,,,0.000,0.025,  6.16, 5.90,0.000, 21,-57, 63,
,,0.000,0.005,11,0.001,0.000,0.000,  7.49, 7.03,0.000, 54, 39, 18,
,,0.000,0.000,30,0.000,0.000,0.010,  6.41, 6.11,0.000,-30, 48, 27,
,,0.000,0.000,36,0.000,0.000,0.010,  6.38, 6.09,0.000,  3, 48, 30,
,,,,,,0.001,0.060,  5.85, 5.62,0.000,  3, 54, 21,
,,0.000,0.015,8,0.004,0.000,0.035,  6.05, 5.80,0.000,-30,-45,  9,
,,0.001,0.058,5,0.019,0.000,0.035,  6.03, 5.78,0.000, 72,-39, -6,
,,0.000,0.001,18,0.000,0.001,0.060,  5.85, 5.62,0.000,  6, 39,-24,
,,,,,,0.001,0.077,  5.76, 5.54,0.000, 21, 33,-21,
,,0.000,0.005,11,0.001,0.001,0.077,  5.77, 5.55,0.000, 45,-54, 24,
