set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.000,0.000,203,0.000,0.000,0.000,  9.36,  Inf,0.000,-45, 21, 21,
,,,,,,0.000,0.000,  8.72,  Inf,0.000,-42,  3, 27,
,,,,,,0.000,0.000,  7.30, 6.88,0.000,-51,  6, 27,
,,0.000,0.000,74,0.000,0.000,0.000,  8.64,  Inf,0.000,-21, 60, 12,
,,0.000,0.000,57,0.000,0.000,0.000,  8.28, 7.68,0.000,-45,-57,-24,
,,0.000,0.000,104,0.000,0.000,0.000,  7.86, 7.35,0.000,-45,-45, 36,
,,,,,,0.000,0.000,  7.12, 6.73,0.000,-33,-48, 33,
,,0.000,0.000,121,0.000,0.000,0.000,  7.45, 7.01,0.000,-30,-78, 21,
,,,,,,0.000,0.000,  7.29, 6.87,0.000,-21,-69, 27,
,,,,,,0.000,0.000,  7.25, 6.84,0.000,-21,-75, 45,
,,0.000,0.000,22,0.000,0.000,0.001,  6.68, 6.35,0.000,-33, -6, 66,
,,0.000,0.000,24,0.000,0.000,0.001,  6.65, 6.33,0.000,-42, 42,  3,
,,0.000,0.001,14,0.000,0.000,0.017,  6.09, 5.83,0.000, 66,-51, 24,
,,0.000,0.020,7,0.007,0.000,0.035,  5.91, 5.67,0.000,-24, 27, 48,
,,0.000,0.020,7,0.007,0.002,0.116,  5.64, 5.43,0.000,  0, 21, 48,
,,0.001,0.029,6,0.012,0.004,0.207,  5.49, 5.30,0.000, -3,-24, 12,
