set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,41,0.000,0.000,504,0.000,0.000,0.000,  8.85,  Inf,0.000, 30, -72, 48,
,,,,,,0.000,0.000,  8.03, 7.48,0.000, 42, -54, 54,
,,,,,,0.000,0.000,  7.91, 7.39,0.000, 36, -60, 33,
,,0.000,0.000,967,0.000,0.000,0.000,  8.79,  Inf,0.000,  3,  33, 33,
,,,,,,0.000,0.000,  8.43, 7.80,0.000, 48,  21, 33,
,,,,,,0.000,0.000,  7.81, 7.30,0.000,  3,  24, 42,
,,0.000,0.000,233,0.000,0.000,0.000,  6.54, 6.23,0.000, 21,  21, 45,
,,,,,,0.000,0.000,  6.20, 5.93,0.000, 24,  24, 54,
,,,,,,0.907,0.223,  3.94, 3.87,0.000, 15,  12, 66,
,,0.000,0.000,189,0.000,0.000,0.000,  6.49, 6.19,0.000,  6, -36,  3,
,,,,,,0.000,0.000,  6.29, 6.01,0.000,  6, -24,  6,
,,,,,,0.489,0.086,  4.32, 4.22,0.000, 15, -42, -9,
,,0.000,0.000,327,0.000,0.000,0.000,  6.42, 6.13,0.000,-42, -51, 30,
,,,,,,0.000,0.000,  5.91, 5.67,0.000,-42, -63, 48,
,,,,,,0.005,0.002,  5.44, 5.26,0.000,-33, -33, 15,
,,0.001,0.000,80,0.000,0.000,0.000,  6.29, 6.01,0.000,  6, -75, 33,
,,0.001,0.000,90,0.000,0.000,0.000,  6.03, 5.78,0.000, -6, -75,-36,
,,0.029,0.007,44,0.001,0.003,0.001,  5.59, 5.39,0.000,-54,  18, 33,
,,0.043,0.011,40,0.002,0.003,0.002,  5.53, 5.33,0.000,  6,  63,-18,
,,,,,,0.968,0.268,  3.82, 3.75,0.000, 15,  63,-12,
,,0.001,0.000,85,0.000,0.012,0.004,  5.28, 5.11,0.000, 12,   3, 18,
,,0.024,0.007,46,0.001,0.014,0.005,  5.25, 5.08,0.000, 24, -81,-21,
,,,,,,0.991,0.339,  3.72, 3.65,0.000, 39, -87,-18,
,,0.005,0.002,62,0.000,0.016,0.005,  5.21, 5.04,0.000,-45,  45, 21,
,,,,,,0.322,0.054,  4.48, 4.37,0.000,-39,  39, 39,
,,,,,,0.998,0.406,  3.62, 3.56,0.000,-36,  48, 36,
,,0.633,0.154,14,0.046,0.020,0.006,  5.17, 5.01,0.000,  0, -99, 15,
,,0.001,0.000,89,0.000,0.036,0.009,  5.04, 4.89,0.000,  0, -27, 51,
,,,,,,0.694,0.125,  4.16, 4.07,0.000,  0, -39, 57,
,,,,,,0.890,0.216,  3.96, 3.89,0.000, -9, -21, 54,
,,0.232,0.056,24,0.012,0.058,0.013,  4.94, 4.79,0.000,-15,  57,-15,
,,0.000,0.000,118,0.000,0.106,0.021,  4.80, 4.67,0.000, 51, -36,-24,
,,,,,,0.302,0.052,  4.50, 4.39,0.000, 51, -27,-21,
,,,,,,0.776,0.153,  4.08, 4.00,0.000, 54, -42,-15,
,,0.000,0.000,125,0.000,0.132,0.024,  4.75, 4.62,0.000,-63, -36, 21,
,,,,,,0.427,0.073,  4.38, 4.27,0.000,-63, -15, 12,
,,,,,,0.543,0.093,  4.28, 4.18,0.000,-66, -21, 18,
,,0.890,0.264,9,0.101,0.185,0.034,  4.65, 4.53,0.000,-60, -21,-24,
,,0.529,0.120,16,0.034,0.192,0.034,  4.64, 4.52,0.000,-21,   0,-27,
,,0.355,0.076,20,0.020,0.214,0.038,  4.61, 4.49,0.000, 33, -87,-39,
,,0.742,0.192,12,0.062,0.220,0.038,  4.60, 4.48,0.000,-45, -57,-54,
,,0.080,0.019,34,0.004,0.322,0.054,  4.48, 4.37,0.000,-57,  12, 12,
,,0.003,0.001,70,0.000,0.371,0.062,  4.43, 4.32,0.000, 33,  18, -6,
,,,,,,0.473,0.083,  4.34, 4.24,0.000, 27,  24, -6,
,,,,,,0.562,0.096,  4.26, 4.17,0.000, 42,  21, -9,
,,0.890,0.264,9,0.101,0.501,0.087,  4.31, 4.21,0.000, 36,   9,-15,
,,0.688,0.172,13,0.053,0.565,0.096,  4.26, 4.17,0.000,-36, -75, 27,
,,0.890,0.264,9,0.101,0.747,0.142,  4.11, 4.03,0.000,-30, -63,-39,
,,0.957,0.354,7,0.143,0.862,0.197,  4.00, 3.92,0.000, -3, -93,-18,
,,0.978,0.393,6,0.173,0.903,0.222,  3.95, 3.87,0.000, 24,  -6,  0,
,,0.845,0.255,10,0.085,0.910,0.223,  3.94, 3.86,0.000, -9,   6, 24,
,,0.320,0.074,21,0.018,0.921,0.230,  3.92, 3.84,0.000,-18,-105,-15,
,,,,,,0.998,0.412,  3.61, 3.55,0.000,-30, -99, -6,
,,0.355,0.076,20,0.020,0.923,0.230,  3.92, 3.84,0.000, 15, -66,-60,
,,,,,,0.955,0.255,  3.86, 3.78,0.000,  9, -72,-54,
,,,,,,1.000,0.584,  3.43, 3.38,0.000,  6, -66,-48,
,,0.288,0.068,22,0.015,0.932,0.235,  3.90, 3.83,0.000,-51,   6,-39,
,,,,,,0.960,0.259,  3.84, 3.77,0.000,-48,  -3,-45,
,,0.990,0.434,5,0.212,0.938,0.239,  3.89, 3.82,0.000, 21,  -3, 48,
,,0.978,0.393,6,0.173,0.953,0.255,  3.86, 3.79,0.000, 33,  -3, 63,
,,0.957,0.354,7,0.143,0.964,0.263,  3.83, 3.76,0.000,-60, -24, 48,
,,0.393,0.083,19,0.023,0.975,0.280,  3.80, 3.73,0.000,-36, -93,-18,
,,,,,,0.999,0.418,  3.59, 3.53,0.000,-42, -84,-18,
,,0.890,0.264,9,0.101,0.980,0.291,  3.78, 3.71,0.000,  6, -48, 33,
,,,,,,1.000,0.681,  3.34, 3.29,0.001,  6, -57, 27,
,,0.990,0.434,5,0.212,0.993,0.349,  3.70, 3.64,0.000,-39, -81,-51,
,,0.978,0.393,6,0.173,0.999,0.412,  3.60, 3.54,0.000, -9, -87, -6,
,,0.990,0.434,5,0.212,0.999,0.431,  3.57, 3.52,0.000,-12,  33,-12,
,,0.990,0.434,5,0.212,1.000,0.650,  3.37, 3.32,0.000, 69, -21, 27,
,,,,,,1.000,0.681,  3.34, 3.29,0.000, 69, -18, 36,
