set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,41,0.000,0.000,501,0.000,0.000,0.000,  7.85, 7.34,0.000, 51, 45, 18,
,,,,,,0.000,0.000,  6.79, 6.45,0.000, 57, -3, 45,
,,,,,,0.000,0.000,  6.05, 5.80,0.000, 51, -9, 54,
,,0.065,0.021,36,0.003,0.000,0.000,  6.77, 6.43,0.000, 18,-72, 63,
,,,,,,0.937,0.210,  3.89, 3.82,0.000, 36,-66, 60,
,,0.000,0.000,731,0.000,0.000,0.000,  6.46, 6.16,0.000,-18,  0, 66,
,,,,,,0.000,0.000,  6.45, 6.15,0.000,-21, 42, 24,
,,,,,,0.000,0.000,  6.33, 6.04,0.000, -6, 39, 54,
,,0.000,0.000,294,0.000,0.000,0.001,  5.93, 5.70,0.000, -6,-63, 60,
,,,,,,0.005,0.003,  5.44, 5.25,0.000, -3,-81, 33,
,,,,,,0.010,0.005,  5.31, 5.13,0.000, -3,-75, 24,
,,0.043,0.017,40,0.002,0.002,0.003,  5.60, 5.40,0.000, -3,-54, 39,
,,0.059,0.021,37,0.003,0.003,0.003,  5.57, 5.37,0.000, 69,-36, -9,
,,0.089,0.023,33,0.004,0.004,0.003,  5.51, 5.32,0.000,  9,  3, 33,
,,0.136,0.033,29,0.007,0.004,0.003,  5.51, 5.31,0.000, 39, 36, 48,
,,,,,,0.178,0.031,  4.66, 4.54,0.000, 27, 45, 48,
,,,,,,0.989,0.322,  3.73, 3.66,0.000, 45, 36, 42,
,,0.000,0.000,187,0.000,0.004,0.003,  5.49, 5.30,0.000,-27, 36, -9,
,,,,,,0.015,0.006,  5.23, 5.06,0.000,-36, 33,  0,
,,,,,,0.710,0.119,  4.14, 4.06,0.000,-12, 24,  0,
,,0.039,0.017,41,0.002,0.005,0.003,  5.44, 5.25,0.000, 21,-36, 39,
,,0.978,0.389,6,0.173,0.009,0.005,  5.33, 5.15,0.000, 21, 48,-21,
,,0.072,0.022,35,0.003,0.019,0.007,  5.17, 5.01,0.000, 33,-39,  3,
,,0.080,0.023,34,0.004,0.019,0.007,  5.17, 5.01,0.000, 12,  6, 51,
,,0.006,0.004,60,0.000,0.052,0.014,  4.96, 4.82,0.000,-27,-63,-27,
,,,,,,0.571,0.085,  4.26, 4.16,0.000,-36,-72,-24,
,,0.000,0.000,99,0.000,0.071,0.016,  4.89, 4.75,0.000, 24, 27, 21,
,,,,,,0.388,0.056,  4.41, 4.31,0.000, 21, 21, 27,
,,,,,,0.485,0.073,  4.33, 4.23,0.000, 30,  9, 18,
,,0.187,0.044,26,0.009,0.104,0.020,  4.81, 4.67,0.000,-15,-84,-21,
,,0.978,0.389,6,0.173,0.117,0.021,  4.78, 4.65,0.000, 51,-57, 54,
,,0.010,0.005,55,0.000,0.149,0.026,  4.71, 4.59,0.000, 36,-72,-45,
,,,,,,0.554,0.082,  4.27, 4.17,0.000, 15,-75,-39,
,,,,,,0.903,0.189,  3.95, 3.87,0.000, 24,-75,-45,
,,0.136,0.033,29,0.007,0.193,0.032,  4.64, 4.52,0.000, 51,-69, 45,
,,,,,,0.312,0.046,  4.49, 4.38,0.000, 45,-75, 45,
,,,,,,0.555,0.082,  4.27, 4.17,0.000, 45,-69, 51,
,,0.029,0.014,44,0.001,0.260,0.040,  4.55, 4.43,0.000, 48,  6, -6,
,,,,,,0.369,0.054,  4.43, 4.32,0.000, 57,  9, -9,
,,,,,,0.554,0.082,  4.27, 4.17,0.000, 42,  3,-12,
,,0.742,0.244,12,0.062,0.279,0.043,  4.52, 4.41,0.000, -3, 18, 30,
,,0.927,0.368,8,0.120,0.366,0.054,  4.43, 4.33,0.000, -9,  0,  9,
,,0.435,0.108,18,0.026,0.533,0.081,  4.29, 4.19,0.000, 60,-48,  9,
,,0.927,0.368,8,0.120,0.678,0.112,  4.17, 4.08,0.000, 30,-87, 12,
,,0.435,0.108,18,0.026,0.716,0.120,  4.14, 4.05,0.000,-36,-66,  6,
,,0.927,0.368,8,0.120,0.846,0.160,  4.02, 3.94,0.000,-24,-15,-15,
