set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.000,0.000,32,0.000,0.000,0.000,  7.85, 7.34,0.000, 51, 45, 18,
,,,,,,0.005,0.224,  5.46, 5.27,0.000, 45, 48, 30,
,,,,,,0.013,0.415,  5.26, 5.09,0.000, 51, 45,  9,
,,0.000,0.000,27,0.000,0.000,0.002,  6.79, 6.45,0.000, 57, -3, 45,
,,,,,,0.000,0.033,  6.05, 5.80,0.000, 51, -9, 54,
,,0.001,0.033,6,0.011,0.000,0.002,  6.77, 6.43,0.000, 18,-72, 63,
,,0.000,0.000,33,0.000,0.000,0.008,  6.46, 6.16,0.000,-18,  0, 66,
,,,,,,0.001,0.083,  5.81, 5.59,0.000,-12,  3, 72,
,,0.000,0.003,13,0.001,0.000,0.008,  6.45, 6.15,0.000,-21, 42, 24,
,,0.000,0.000,37,0.000,0.000,0.012,  6.33, 6.04,0.000, -6, 39, 54,
,,,,,,0.002,0.180,  5.62, 5.42,0.000, -9, 51, 39,
,,0.000,0.011,9,0.003,0.000,0.052,  5.93, 5.70,0.000, -6,-63, 60,
,,0.001,0.033,6,0.011,0.004,0.217,  5.49, 5.30,0.000,-27, 36, -9,
,,0.000,0.008,10,0.002,0.004,0.217,  5.48, 5.29,0.000, -9, 66, 18,
,,0.001,0.049,5,0.019,0.005,0.224,  5.44, 5.25,0.000, 21,-36, 39,
