set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.000,0.000,65,0.000,0.000,0.000,  8.85,  Inf,0.000, 30,-72, 48,
,,,,,,0.000,0.000,  7.91, 7.39,0.000, 36,-60, 33,
,,0.000,0.000,62,0.000,0.000,0.000,  8.79,  Inf,0.000,  3, 33, 33,
,,,,,,0.000,0.000,  7.81, 7.30,0.000,  3, 24, 42,
,,0.000,0.000,64,0.000,0.000,0.000,  8.43, 7.80,0.000, 48, 21, 33,
,,,,,,0.000,0.156,  5.91, 5.68,0.000, 42, 12, 45,
,,0.000,0.000,22,0.000,0.000,0.000,  8.03, 7.48,0.000, 42,-54, 54,
,,0.000,0.000,23,0.000,0.000,0.018,  6.54, 6.23,0.000, 21, 21, 45,
,,,,,,0.000,0.056,  6.20, 5.93,0.000, 24, 24, 54,
,,0.000,0.013,5,0.008,0.000,0.020,  6.49, 6.19,0.000,  6,-36,  3,
,,0.000,0.003,8,0.001,0.000,0.026,  6.42, 6.13,0.000,-42,-51, 30,
,,0.000,0.001,12,0.000,0.000,0.038,  6.31, 6.03,0.000, 18, 57, 27,
,,0.000,0.008,6,0.005,0.000,0.038,  6.29, 6.01,0.000,  6,-24,  6,
,,0.000,0.002,9,0.001,0.000,0.038,  6.29, 6.01,0.000,  6,-75, 33,
,,0.000,0.000,16,0.000,0.000,0.069,  6.14, 5.88,0.000, 27, 57,  6,
,,0.000,0.013,5,0.008,0.000,0.109,  6.03, 5.78,0.000, -6,-75,-36,
,,0.000,0.005,7,0.003,0.001,0.234,  5.81, 5.59,0.000, 27,-69, 33,
