"time_min","zyg_resid","corr_resid","subject","session","block"
1.46317,4.21594365097959e-06,2.44625694326516e-07,"9001","1",1
1.46333,-5.7318697734452e-06,-3.4864621471208e-07,"9001","1",1
1.4635,-1.17405934782857e-06,-4.41836787199175e-07,"9001","1",1
1.46367,-5.13672051145067e-06,1.04466374159108e-07,"9001","1",1
1.46383,5.30539120269195e-06,1.16689563892023e-06,"9001","1",1
1.464,8.63855212419954e-06,1.40167542885199e-06,"9001","1",1
