set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.398,5,0.086,0.155,54,0.008,0.602,0.917,  4.01, 3.93,0.000, 12,-39, 60,
,,,,,,0.993,0.989,  3.45, 3.40,0.000, 18,-51, 63,
,,0.944,0.714,8,0.260,0.727,0.917,  3.91, 3.83,0.000, 48, -3, 21,
,,0.791,0.714,14,0.141,0.782,0.917,  3.86, 3.78,0.000,-24,-15,-39,
,,0.924,0.714,9,0.233,0.971,0.989,  3.57, 3.51,0.000,-18,-24, 57,
,,0.961,0.714,7,0.292,0.999,0.989,  3.34, 3.29,0.001, 15,-60, 15,
