set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.001,82,0.000,0.000,0.000,  6.10, 5.84,0.000, -9, 39, 48,
,,,,,,0.000,0.000,  6.05, 5.80,0.000, -9, 48, 24,
,,,,,,0.012,0.024,  4.67, 4.55,0.000, -9, 48, 36,
,,0.000,0.001,80,0.000,0.000,0.001,  5.77, 5.55,0.000,  3, 57, -9,
,,,,,,0.004,0.010,  4.94, 4.79,0.000, -6, 60, -3,
,,0.006,0.010,37,0.003,0.000,0.001,  5.51, 5.32,0.000, 21,-60, 30,
,,,,,,0.014,0.024,  4.63, 4.51,0.000, 12,-54, 27,
,,0.001,0.003,55,0.001,0.001,0.004,  5.21, 5.04,0.000,  0,-66, 60,
,,,,,,0.014,0.024,  4.62, 4.51,0.000,  9,-60, 66,
,,,,,,0.102,0.095,  4.07, 3.99,0.000,  6,-78, 48,
,,0.002,0.003,51,0.001,0.004,0.010,  4.93, 4.78,0.000,  0,-66, 24,
,,,,,,0.050,0.058,  4.28, 4.18,0.000,-12,-57, 24,
,,,,,,0.064,0.066,  4.21, 4.12,0.000,-12,-66, 30,
,,0.329,0.394,5,0.225,0.022,0.035,  4.50, 4.39,0.000, 15, 36, 51,
,,0.240,0.361,7,0.155,0.039,0.048,  4.35, 4.25,0.000,  0, 45, 36,
,,0.280,0.371,6,0.186,0.059,0.064,  4.23, 4.14,0.000,-12,-48, 27,
