set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,9,0.000,0.000,264,0.000,0.000,0.000,  7.80, 7.29,0.000,  0,-57, 39,
,,,,,,0.000,0.000,  7.26, 6.84,0.000,  0,-48, 54,
,,,,,,0.007,0.009,  4.80, 4.67,0.000,-12,-63, 57,
,,0.001,0.007,55,0.001,0.000,0.000,  7.06, 6.67,0.000,-21,  9, 66,
,,,,,,0.000,0.001,  5.48, 5.29,0.000,-27, 15, 57,
,,0.013,0.038,30,0.007,0.000,0.000,  5.76, 5.54,0.000, -9, 33, 18,
,,0.153,0.281,10,0.094,0.000,0.000,  5.70, 5.49,0.000, 24,-15,-24,
,,0.002,0.008,48,0.001,0.004,0.008,  4.91, 4.77,0.000, -6, 54,  9,
,,,,,,0.091,0.103,  4.10, 4.02,0.000,  0, 39,  9,
,,0.329,0.525,5,0.225,0.004,0.008,  4.89, 4.76,0.000,-30,-84, 27,
,,0.025,0.060,24,0.014,0.007,0.009,  4.80, 4.67,0.000, 39,-78, 27,
,,0.153,0.281,10,0.094,0.130,0.141,  3.99, 3.91,0.000, 30, 30, 48,
,,0.329,0.525,5,0.225,0.183,0.178,  3.88, 3.81,0.000, 12,-75, 33,
