set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.000,0.000,29,0.000,0.027,0.435,  5.26, 4.93,0.000, -3,-69, 54,
,,,,,,0.153,0.669,  4.85, 4.58,0.000,  3,-63, 60,
,,,,,,0.997,0.669,  4.32, 4.12,0.000,  3,-54, 66,
,,0.110,0.052,7,0.001,0.631,0.669,  4.49, 4.27,0.000,-36,-60,-42,
,,0.206,0.082,6,0.002,0.999,0.669,  4.27, 4.08,0.000, 21,-66, 45,
,,0.059,0.052,8,0.000,0.999,0.669,  4.26, 4.06,0.000,  3,-90, 30,
,,,,,,1.000,0.877,  3.60, 3.48,0.000,  6,-96, 21,
,,0.378,0.084,5,0.004,0.999,0.669,  4.24, 4.05,0.000,-42, 18, 15,
,,,,,,1.000,0.854,  3.67, 3.54,0.000,-36, 24, 18,
,,0.378,0.084,5,0.004,1.000,0.824,  3.93, 3.77,0.000,-36,-87,  6,
,,0.110,0.052,7,0.001,1.000,0.824,  3.91, 3.76,0.000, 33,-81, 15,
,,0.378,0.084,5,0.004,1.000,0.824,  3.88, 3.73,0.000,  0,-45, 69,
,,0.378,0.084,5,0.004,1.000,0.870,  3.64, 3.51,0.000, 39,-57,-39,
,,0.378,0.084,5,0.004,1.000,0.877,  3.55, 3.44,0.000, 54, 15, 30,
