set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.007,1,0.006,0.422,6,0.114,0.000,0.010,  5.56, 5.36,0.000,-27,24,60,
,,,,,,0.001,0.029,  4.95, 4.80,0.000,-27,15,66,
