set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,201,0.000,0.000,0.000,  9.37,  Inf,0.000,-39,-66, 48,
,,,,,,0.000,0.000,  6.16, 5.89,0.000,-42,-51, 33,
,,,,,,0.000,0.001,  5.19, 5.03,0.000,-27,-75, 45,
,,0.000,0.000,143,0.000,0.000,0.000,  6.92, 6.55,0.000, -3, 33, 42,
,,,,,,0.000,0.000,  6.22, 5.95,0.000,-15, 33, 51,
,,,,,,0.000,0.000,  5.65, 5.45,0.000,-24, 24, 48,
,,0.001,0.006,55,0.002,0.000,0.000,  5.70, 5.49,0.000,-39, 42, -3,
,,,,,,0.150,0.382,  3.51, 3.45,0.000,-39, 51, -9,
,,0.012,0.059,25,0.026,0.007,0.025,  4.43, 4.32,0.000,-54,-36,-15,
,,,,,,0.023,0.069,  4.11, 4.02,0.000,-54,-45,-15,
