set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,45,0.000,0.000,755,0.000,0.000,0.000,  7.57, 7.10,0.000,  3,  -6, 48,
,,,,,,0.000,0.000,  7.41, 6.97,0.000,  6,   3, 45,
,,,,,,0.000,0.000,  6.14, 5.87,0.000, -3,  -9, 60,
,,0.000,0.000,143,0.000,0.000,0.000,  6.17, 5.90,0.000, 45, -36, 39,
,,,,,,0.042,0.015,  5.00, 4.86,0.000, 57, -21, 36,
,,,,,,0.942,0.300,  3.89, 3.82,0.000, 39, -45, 45,
,,0.007,0.003,58,0.000,0.001,0.002,  5.77, 5.55,0.000,-42,  45, -9,
,,0.011,0.005,53,0.000,0.002,0.002,  5.66, 5.45,0.000,-27,  27,-21,
,,,,,,0.910,0.267,  3.95, 3.87,0.000,-27,  18,-33,
,,0.000,0.000,112,0.000,0.002,0.002,  5.66, 5.45,0.000, 69, -36,-15,
,,,,,,0.005,0.004,  5.46, 5.27,0.000, 57, -30,-18,
,,,,,,0.396,0.087,  4.41, 4.31,0.000, 48, -39,-15,
,,0.000,0.000,163,0.000,0.002,0.003,  5.60, 5.39,0.000, 12, -75, 54,
,,,,,,0.003,0.003,  5.55, 5.36,0.000, 21, -69, 45,
,,,,,,0.198,0.049,  4.64, 4.52,0.000, 12, -60, 54,
,,0.002,0.001,74,0.000,0.005,0.004,  5.46, 5.27,0.000, -3, -45,-42,
,,0.619,0.167,14,0.043,0.010,0.006,  5.31, 5.14,0.000,-45,  21,-27,
,,0.000,0.000,181,0.000,0.013,0.008,  5.25, 5.08,0.000,-24, -69,  6,
,,,,,,0.017,0.009,  5.20, 5.04,0.000,-30, -42,  3,
,,,,,,0.566,0.124,  4.27, 4.17,0.000,-24, -78, -6,
,,0.244,0.066,23,0.012,0.018,0.009,  5.19, 5.02,0.000,-33, -18,-33,
,,0.001,0.001,75,0.000,0.021,0.009,  5.15, 4.99,0.000, 51,   6,  6,
,,,,,,0.276,0.065,  4.54, 4.42,0.000, 54,   6, 18,
,,,,,,0.967,0.342,  3.83, 3.76,0.000, 54,   6, 36,
,,0.619,0.167,14,0.043,0.030,0.012,  5.08, 4.93,0.000,-39,  27, 24,
,,0.021,0.008,46,0.001,0.047,0.015,  4.98, 4.83,0.000,-36, -72, 33,
,,,,,,0.979,0.365,  3.79, 3.72,0.000,-33, -66, 27,
,,,,,,1.000,0.867,  3.23, 3.19,0.001,-48, -72, 42,
,,0.101,0.030,31,0.005,0.238,0.059,  4.58, 4.47,0.000,-27,  63, 24,
,,,,,,1.000,0.880,  3.21, 3.17,0.001,-12,  66, 30,
,,0.924,0.293,8,0.114,0.290,0.066,  4.52, 4.41,0.000,-42,  48, 30,
,,0.565,0.158,15,0.037,0.295,0.066,  4.51, 4.40,0.000, 42,  21,-33,
