set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.185,7,0.885,0.433,9,0.095,0.329,0.335,  4.48, 4.37,0.000,-33,-39,-39,
,,0.565,0.349,15,0.037,0.563,0.347,  4.27, 4.18,0.000,-21,-96,-12,
,,0.924,0.433,8,0.114,0.860,0.453,  4.01, 3.93,0.000, 30,-66, 15,
,,0.513,0.349,16,0.032,0.884,0.453,  3.98, 3.90,0.000,-42, 33, 39,
,,0.955,0.434,7,0.137,0.943,0.482,  3.89, 3.82,0.000, -3,-33,-51,
,,0.885,0.433,9,0.095,1.000,0.794,  3.53, 3.48,0.000, -3,-21, 78,
,,0.977,0.452,6,0.166,1.000,0.794,  3.51, 3.45,0.000,-27,-57, 12,
