set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.043,9,0.903,0.886,39,0.512,0.642,0.727,  3.72, 3.63,0.000, 10,-46, 18,
,,0.601,0.886,144,0.202,0.675,0.727,  3.69, 3.60,0.000, 20,-14, 60,
,,,,,,0.694,0.727,  3.67, 3.58,0.000, 12,-22, 58,
,,0.887,0.886,45,0.478,0.700,0.727,  3.67, 3.58,0.000,  9,-30, 34,
,,0.895,0.886,42,0.495,0.797,0.771,  3.57, 3.48,0.000, 33, 14,-16,
,,0.971,0.886,9,0.777,0.944,0.886,  3.34, 3.27,0.001, 46,-14, 27,
,,0.955,0.886,17,0.680,0.971,0.886,  3.26, 3.19,0.001, -8,-48, 32,
,,0.980,0.886,4,0.863,0.974,0.886,  3.24, 3.18,0.001, 33, 21, 15,
,,0.982,0.886,3,0.886,0.977,0.886,  3.23, 3.16,0.001,-18,-26,  9,
,,0.980,0.886,4,0.863,0.982,0.886,  3.20, 3.14,0.001, 46,-33, 30,
