set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.008,381,0.001,0.000,0.007,  6.40, 5.98,0.000,-48,-74,30,
,,,,,,0.001,0.037,  5.80, 5.48,0.000,-40,-78,36,
,,0.000,0.031,222,0.009,0.005,0.240,  5.27, 5.02,0.000, -2,-87,14,
,,,,,,0.007,0.275,  5.18, 4.94,0.000,-10,-93,14,
,,0.014,0.638,31,0.281,0.017,0.563,  4.95, 4.74,0.000, -2,-63,16,
,,0.019,0.638,22,0.364,0.025,0.704,  4.84, 4.65,0.000, 48,-69,32,
,,0.030,0.837,8,0.598,0.028,0.704,  4.81, 4.62,0.000, 30, 27,52,
,,0.041,0.879,2,0.815,0.044,0.971,  4.69, 4.51,0.000, -4,-48,33,
,,0.044,0.879,1,0.879,0.049,0.984,  4.66, 4.48,0.000, -3,-36,38,
