set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,20,0.000,0.000,19191,0.000,0.000,0.000, 11.93,  Inf,0.000,-58,-27, 34,
,,,,,,0.000,0.000,  9.44, 7.78,0.000,-16,-68, 54,
,,,,,,0.000,0.000,  9.02, 7.53,0.000,-33,-46, 50,
,,0.000,0.000,13307,0.000,0.000,0.000, 10.15,  Inf,0.000, 33,-86, -4,
,,,,,,0.000,0.000,  8.78, 7.39,0.000, 38,-82, 10,
,,,,,,0.000,0.000,  8.32, 7.10,0.000, 38,-74, 28,
,,0.000,0.000,10232,0.000,0.000,0.000,  9.31, 7.71,0.000,-51,  6, 30,
,,,,,,0.000,0.000,  7.52, 6.56,0.000,-34, 20,  6,
,,,,,,0.000,0.000,  6.60, 5.92,0.000,-44, 39,  6,
,,0.000,0.000,9322,0.000,0.000,0.000,  8.75, 7.37,0.000, -4, 21, 44,
,,,,,,0.000,0.000,  8.39, 7.14,0.000, -4, 27, 38,
,,,,,,0.000,0.000,  8.00, 6.89,0.000,-26,  0, 52,
,,0.000,0.000,6307,0.000,0.000,0.000,  7.69, 6.68,0.000, 32, 24,  4,
,,,,,,0.000,0.000,  7.41, 6.49,0.000, 51,  9, 27,
,,,,,,0.003,0.001,  5.65, 5.19,0.000, 50, 15,  4,
,,0.001,0.000,1465,0.000,0.000,0.000,  6.36, 5.73,0.000, 30, -2, 52,
,,0.000,0.000,1690,0.000,0.003,0.001,  5.61, 5.16,0.000, -8,-24,-12,
,,,,,,0.006,0.002,  5.43, 5.02,0.000,-12,-15,  9,
,,,,,,0.038,0.012,  4.91, 4.60,0.000, -4,-33,-26,
,,0.350,0.198,228,0.079,0.013,0.004,  5.23, 4.85,0.000, 12,-14, 10,
,,0.626,0.403,126,0.181,0.130,0.038,  4.53, 4.27,0.000, 26,-40,-15,
,,0.971,0.934,16,0.650,0.462,0.152,  4.03, 3.85,0.000,-14,  6, 10,
,,0.965,0.934,19,0.617,0.592,0.216,  3.91, 3.73,0.000, 15, -6,-12,
,,0.940,0.934,30,0.519,0.678,0.270,  3.82, 3.66,0.000, 16, 14,  9,
,,,,,,0.985,0.849,  3.30, 3.19,0.001, 20, 15,  2,
,,0.978,0.934,12,0.701,0.781,0.350,  3.71, 3.56,0.000, 26, 40,-14,
,,0.722,0.472,98,0.236,0.910,0.537,  3.53, 3.40,0.000,  3,-30, 28,
,,,,,,0.994,0.974,  3.21, 3.11,0.001, -3,-22, 30,
,,0.990,0.934,4,0.843,0.960,0.691,  3.41, 3.29,0.000,-18, 14, 12,
,,0.987,0.934,6,0.799,0.978,0.783,  3.34, 3.23,0.001, 14,-69, 12,
,,0.992,0.934,2,0.898,0.986,0.851,  3.29, 3.19,0.001, 12,  6,  6,
,,0.990,0.934,4,0.843,0.993,0.943,  3.23, 3.13,0.001, 34, 38, 28,
,,0.994,0.934,1,0.934,0.995,0.980,  3.20, 3.10,0.001,-16,  9, 14,
,,0.994,0.934,1,0.934,0.995,0.990,  3.19, 3.09,0.001, -4,-21, 32,
