set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.003,11,0.592,0.364,21,0.086,0.182,0.520,  4.44, 4.33,0.000, -6, 15, 72,
,,,,,,1.000,0.836,  3.25, 3.21,0.001,  0,  6, 75,
,,0.484,0.364,25,0.063,0.336,0.529,  4.24, 4.15,0.000,-60, -6,-21,
,,,,,,0.949,0.652,  3.61, 3.55,0.000,-60,-15,-21,
,,0.436,0.364,27,0.055,0.487,0.574,  4.09, 4.01,0.000,  6, 36, 57,
,,,,,,0.971,0.652,  3.55, 3.49,0.000,  6, 45, 54,
,,,,,,0.980,0.652,  3.51, 3.46,0.000, -6, 45, 54,
,,0.459,0.364,26,0.059,0.706,0.634,  3.91, 3.83,0.000, -3, 60,-18,
,,,,,,0.985,0.652,  3.49, 3.43,0.000, -9, 60, -9,
,,0.854,0.389,12,0.184,0.778,0.634,  3.84, 3.77,0.000, -6,-51,-33,
,,0.740,0.364,16,0.129,0.783,0.634,  3.84, 3.77,0.000,-42, 21, 48,
,,0.680,0.364,18,0.109,0.821,0.634,  3.80, 3.73,0.000,-24,-84,-30,
,,0.903,0.425,10,0.223,0.929,0.652,  3.65, 3.59,0.000, 12,-69,-33,
,,0.799,0.364,14,0.153,0.954,0.652,  3.60, 3.54,0.000, 24,-78,-30,
,,,,,,0.999,0.779,  3.31, 3.27,0.001, 30,-75,-36,
,,0.983,0.602,5,0.389,0.989,0.652,  3.46, 3.41,0.000,-42,-81,-36,
,,0.770,0.364,15,0.140,0.989,0.652,  3.46, 3.41,0.000, 36,-63,-30,
,,,,,,0.999,0.779,  3.31, 3.27,0.001, 33,-66,-39,
