set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.118,7,0.002,0.003,138,0.000,0.000,0.000,  6.20, 5.93,0.000, 15, 39,  6,
,,,,,,0.006,0.005,  5.32, 5.14,0.000, -6, 30,  9,
,,,,,,0.089,0.045,  4.65, 4.53,0.000,  6, 27,  9,
,,0.650,0.468,19,0.100,0.663,0.415,  3.94, 3.87,0.000,-33,-93, 12,
,,0.650,0.468,19,0.100,0.746,0.437,  3.87, 3.80,0.000, -6,  9, -3,
,,,,,,0.994,0.571,  3.41, 3.36,0.000,  6, 12,  0,
,,0.854,0.644,12,0.184,0.872,0.479,  3.74, 3.67,0.000, 18, 51, 15,
,,,,,,0.936,0.479,  3.64, 3.58,0.000, 15, 57,  9,
,,0.973,0.690,6,0.344,0.893,0.479,  3.71, 3.65,0.000,-15, 57, 12,
,,0.983,0.690,5,0.389,0.925,0.479,  3.66, 3.60,0.000, -3,  6, 12,
,,0.960,0.690,7,0.307,0.978,0.522,  3.52, 3.47,0.000, 12,-48,-51,
