set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,45,0.000,0.000,98,0.000,0.000,0.000,  7.76, 7.27,0.000,-27, -69,-33,
,,,,,,0.198,0.034,  4.63, 4.51,0.000,-15, -78,-39,
,,0.000,0.000,291,0.000,0.000,0.000,  7.58, 7.11,0.000,-60, -36, 30,
,,,,,,0.004,0.003,  5.48, 5.29,0.000,-51, -51, 36,
,,,,,,0.034,0.011,  5.05, 4.90,0.000,-51, -39, 51,
,,0.000,0.000,156,0.000,0.000,0.000,  6.68, 6.35,0.000,-45,  -3,  0,
,,,,,,0.000,0.000,  6.35, 6.06,0.000,-39,   0,  6,
,,,,,,0.095,0.021,  4.83, 4.69,0.000,-51,   3, 18,
,,0.000,0.000,209,0.000,0.000,0.000,  6.32, 6.04,0.000,-39,  36, 21,
,,,,,,0.013,0.007,  5.25, 5.08,0.000,-36,  33, 12,
,,,,,,0.025,0.010,  5.12, 4.96,0.000,-45,  33, 12,
,,0.000,0.000,388,0.000,0.000,0.000,  6.27, 5.99,0.000, 48,   3, 27,
,,,,,,0.000,0.000,  6.22, 5.95,0.000, 45,   3, -3,
,,,,,,0.000,0.000,  6.06, 5.81,0.000, 48,   9, 12,
,,0.000,0.000,129,0.000,0.000,0.000,  6.03, 5.78,0.000, 60, -24, 15,
,,,,,,0.040,0.012,  5.02, 4.87,0.000, 51, -27, 18,
,,,,,,0.294,0.043,  4.51, 4.40,0.000, 54, -33, 24,
,,0.000,0.000,172,0.000,0.001,0.001,  5.77, 5.55,0.000,-57, -69, -9,
,,,,,,0.001,0.001,  5.73, 5.51,0.000,-54, -66,  0,
,,,,,,0.220,0.036,  4.60, 4.48,0.000,-42, -75,  6,
,,0.206,0.033,25,0.010,0.001,0.001,  5.75, 5.53,0.000,-30, -48, 66,
