set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.000,0.000,26,0.000,0.000,0.000,  7.76, 7.27,0.000,-27,-69,-33,
,,0.000,0.000,49,0.000,0.000,0.000,  7.58, 7.11,0.000,-60,-36, 30,
,,0.000,0.000,23,0.000,0.000,0.003,  6.68, 6.35,0.000,-45, -3,  0,
,,,,,,0.000,0.013,  6.35, 6.06,0.000,-39,  0,  6,
,,0.000,0.004,11,0.001,0.000,0.013,  6.32, 6.04,0.000,-39, 36, 21,
,,0.000,0.003,12,0.001,0.000,0.014,  6.27, 5.99,0.000, 48,  3, 27,
,,0.000,0.005,10,0.002,0.000,0.015,  6.22, 5.95,0.000, 45,  3, -3,
,,0.000,0.003,12,0.001,0.000,0.028,  6.06, 5.81,0.000, 48,  9, 12,
,,0.000,0.007,9,0.003,0.000,0.029,  6.03, 5.78,0.000, 60,-24, 15,
,,0.000,0.001,18,0.000,0.001,0.081,  5.77, 5.55,0.000,-57,-69, -9,
,,,,,,0.001,0.083,  5.73, 5.51,0.000,-54,-66,  0,
,,0.000,0.007,9,0.003,0.004,0.218,  5.48, 5.29,0.000,-51,-51, 36,
