set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,270,0.000,0.000,0.000, 10.81,  Inf,0.000,-39,-63, 48,
,,,,,,0.000,0.000,  8.25, 7.66,0.000,-45,-63, 30,
,,,,,,0.000,0.000,  7.15, 6.75,0.000,-33,-75, 39,
,,0.000,0.000,232,0.000,0.000,0.000,  8.77,  Inf,0.000,-36, 18, 48,
,,,,,,0.000,0.000,  6.26, 5.99,0.000,-21, 24, 54,
,,,,,,0.000,0.000,  5.56, 5.36,0.000,-15, 36, 51,
,,0.000,0.000,87,0.000,0.000,0.000,  7.24, 6.83,0.000,-60,-39,-15,
,,,,,,0.000,0.000,  5.85, 5.62,0.000,-60,-30,-15,
,,0.008,0.031,27,0.016,0.000,0.001,  5.33, 5.16,0.000,-42, 42, -9,
,,,,,,0.000,0.001,  5.17, 5.01,0.000,-36, 48, -6,
