set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,3,0.000,0.000,198,0.000,0.000,0.000, 10.05,  Inf,0.000,  0,-57,39,
,,,,,,0.000,0.000,  7.79, 7.29,0.000,  0,-48,51,
,,,,,,0.000,0.021,  5.50, 5.31,0.000, -6,-72,48,
,,0.000,0.014,16,0.004,0.002,0.086,  5.04, 4.89,0.000,-21,  9,66,
,,,,,,0.021,0.523,  4.49, 4.38,0.000,-24,  9,54,
,,0.002,0.097,7,0.041,0.004,0.106,  4.93, 4.79,0.000, -3, 57,12,
