set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,318,0.000,0.000,0.000, 10.05,  Inf,0.000,  0,-57,39,
,,,,,,0.000,0.000,  7.79, 7.29,0.000,  0,-48,51,
,,,,,,0.000,0.001,  5.50, 5.31,0.000, -6,-72,48,
,,0.292,0.367,6,0.214,0.001,0.002,  5.34, 5.16,0.000,-24, 45,33,
,,0.000,0.001,83,0.000,0.002,0.005,  5.04, 4.89,0.000,-21,  9,66,
,,,,,,0.021,0.032,  4.49, 4.38,0.000,-24,  9,54,
,,,,,,0.029,0.035,  4.40, 4.30,0.000,-24, 21,51,
,,0.007,0.017,40,0.004,0.004,0.006,  4.93, 4.79,0.000, -3, 57,12,
,,0.045,0.086,21,0.029,0.026,0.034,  4.43, 4.33,0.000, 30, 30,48,
,,0.292,0.367,6,0.214,0.063,0.070,  4.18, 4.09,0.000,-30,-84,27,
,,0.169,0.275,10,0.115,0.129,0.125,  3.96, 3.89,0.000,  0, 33,24,
,,0.338,0.383,5,0.255,0.220,0.209,  3.78, 3.71,0.000, -3, 39, 6,
