set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.001,0.003,68,0.000,0.000,0.000,  6.77, 6.42,0.000, 15,-63, 30,
,,,,,,0.032,0.043,  4.37, 4.27,0.000, 15,-54, 24,
,,0.001,0.003,64,0.001,0.000,0.000,  6.58, 6.27,0.000, 51,-78, 33,
,,,,,,0.001,0.005,  5.15, 4.99,0.000, 39,-84, 39,
,,0.000,0.001,82,0.000,0.000,0.001,  5.60, 5.40,0.000, -3, 54, -9,
,,,,,,0.011,0.020,  4.66, 4.54,0.000, -9, 60,  0,
,,,,,,0.052,0.059,  4.24, 4.15,0.000,  3, 66,  3,
,,0.292,0.428,6,0.214,0.001,0.005,  5.22, 5.05,0.000, -9, 39, 51,
,,0.000,0.001,100,0.000,0.002,0.005,  5.09, 4.94,0.000,-12, 48, 24,
,,,,,,0.011,0.020,  4.66, 4.54,0.000,-15, 57, 21,
,,,,,,0.046,0.054,  4.28, 4.18,0.000, -9, 57, 36,
,,0.338,0.460,5,0.255,0.005,0.012,  4.87, 4.73,0.000, 15, 36, 51,
,,0.004,0.009,46,0.002,0.005,0.012,  4.84, 4.71,0.000, -3,-24, 27,
,,,,,,0.170,0.168,  3.87, 3.80,0.000,  9,-30, 27,
,,,,,,0.261,0.261,  3.72, 3.65,0.000,  3,-30, 21,
,,0.019,0.037,29,0.012,0.015,0.024,  4.59, 4.47,0.000,-12,-51, 27,
,,,,,,0.126,0.133,  3.97, 3.89,0.000,  0,-66, 24,
,,0.292,0.428,6,0.214,0.032,0.043,  4.37, 4.27,0.000,-21,-33,-12,
,,0.292,0.428,6,0.214,0.276,0.267,  3.70, 3.63,0.000, -3,-72, 27,
