set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.000,0.000,34,0.000,0.000,0.000,  9.53,  Inf,0.000, 51,-72,-24,
,,,,,,0.000,0.033,  6.96, 6.25,0.000, 57,-63,-27,
,,0.000,0.000,6,0.000,0.000,0.000,  8.93, 7.61,0.000,-24,-33, -3,
,,0.000,0.000,12,0.000,0.000,0.000,  8.74, 7.49,0.000,  0,-15,  3,
,,0.000,0.000,13,0.000,0.000,0.001,  7.98, 6.98,0.000, 15, 33, 27,
,,,,,,0.002,0.553,  5.88, 5.42,0.000, 15, 21, 27,
,,0.000,0.000,13,0.000,0.000,0.002,  7.85, 6.89,0.000,-15, -6, -9,
,,,,,,0.000,0.094,  6.58, 5.97,0.000, -6, -6, -9,
,,0.000,0.000,15,0.000,0.000,0.002,  7.80, 6.86,0.000,-39,-24, 21,
,,,,,,0.004,0.821,  5.74, 5.31,0.000,-48,-18, 21,
,,0.000,0.000,6,0.000,0.000,0.016,  7.24, 6.46,0.000,  6, 42,-27,
,,0.000,0.000,10,0.000,0.000,0.017,  7.22, 6.44,0.000, 18,-33,  6,
,,0.000,0.000,15,0.000,0.000,0.022,  7.10, 6.36,0.000, 36,-33,-27,
,,,,,,0.000,0.022,  7.08, 6.34,0.000, 30,-30,-33,
,,0.000,0.000,6,0.000,0.000,0.046,  6.85, 6.17,0.000, 63, 12, 30,
,,,,,,0.000,0.197,  6.31, 5.76,0.000, 63, 18, 18,
,,0.000,0.000,6,0.000,0.000,0.053,  6.79, 6.13,0.000, 57, 39,  9,
,,,,,,0.001,0.260,  6.14, 5.63,0.000, 57, 33,  3,
,,0.000,0.000,6,0.000,0.000,0.091,  6.61, 5.99,0.000,-15,  9,-21,
,,,,,,0.001,0.253,  6.16, 5.64,0.000,-12,  3,-27,
,,0.000,0.000,6,0.000,0.000,0.091,  6.60, 5.98,0.000,  9,-27,-12,
