set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,12,0.000,0.000,8,0.000,0.000,0.001,  8.32, 7.22,0.000, 51,-30,54,
,,0.000,0.000,46,0.000,0.000,0.001,  8.11, 7.08,0.000,  0, 42,36,
,,,,,,0.000,0.009,  7.40, 6.58,0.000, -3, 36,57,
,,,,,,0.000,0.223,  6.25, 5.72,0.000,  0, 27,60,
,,0.000,0.000,11,0.000,0.000,0.006,  7.59, 6.72,0.000, 33, -6,63,
,,0.000,0.000,7,0.000,0.000,0.006,  7.52, 6.66,0.000,  3,-78,33,
,,0.000,0.000,15,0.000,0.000,0.009,  7.36, 6.55,0.000,-48,  0,39,
,,,,,,0.000,0.104,  6.56, 5.96,0.000,-48,  3,48,
,,0.000,0.000,7,0.000,0.000,0.028,  7.04, 6.32,0.000,  0, 15,45,
,,0.000,0.000,10,0.000,0.000,0.028,  7.04, 6.32,0.000,-51,  3,24,
,,0.000,0.000,5,0.000,0.000,0.033,  6.98, 6.28,0.000,-39,-66,51,
,,0.000,0.000,6,0.000,0.000,0.062,  6.74, 6.09,0.000,-45, 21,21,
,,0.000,0.000,5,0.000,0.000,0.070,  6.68, 6.05,0.000, -9, 24, 3,
,,0.000,0.000,7,0.000,0.000,0.107,  6.54, 5.95,0.000,-24, 60,18,
,,,,,,0.001,0.388,  6.01, 5.53,0.000,-27, 45,15,
,,0.000,0.000,9,0.000,0.001,0.319,  6.09, 5.60,0.000,-54,-33,48,
,,,,,,0.002,0.486,  5.89, 5.44,0.000,-51,-39,54,
