set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,53,0.000,0.000,3565,0.000,0.000,0.000,  8.32, 7.22,0.000, 51,-30, 54,
,,,,,,0.000,0.000,  8.11, 7.08,0.000,  0, 42, 36,
,,,,,,0.000,0.000,  7.59, 6.72,0.000, 33, -6, 63,
,,0.000,0.000,58,0.000,0.000,0.000,  7.70, 6.79,0.000,-51, 15, -9,
,,,,,,0.028,0.008,  5.26, 4.92,0.000,-30, 21,  6,
,,,,,,0.958,0.078,  4.35, 4.15,0.000,-42, 24,  3,
,,0.000,0.000,139,0.000,0.000,0.000,  6.70, 6.06,0.000,-12,-84,-27,
,,,,,,0.003,0.002,  5.76, 5.34,0.000,-30,-75,-27,
,,,,,,0.011,0.005,  5.47, 5.09,0.000,-39,-60,-27,
,,0.002,0.000,22,0.000,0.000,0.000,  6.68, 6.05,0.000, -9, 24,  3,
,,,,,,0.058,0.013,  5.08, 4.77,0.000, -3, 18,  6,
,,,,,,1.000,0.193,  3.99, 3.83,0.000, -9, 15, 12,
,,0.585,0.050,6,0.011,0.000,0.000,  6.43, 5.86,0.000, 36,-48, 36,
,,0.000,0.000,149,0.000,0.000,0.000,  6.42, 5.85,0.000, 51,  3, 39,
,,,,,,0.001,0.001,  6.04, 5.56,0.000, 48,  9, 21,
,,,,,,0.019,0.007,  5.35, 5.00,0.000, 33,  9, 30,
,,0.000,0.000,42,0.000,0.000,0.001,  6.17, 5.66,0.000,-15,-54, -3,
,,,,,,0.029,0.008,  5.24, 4.91,0.000,-15,-63,  0,
,,,,,,0.497,0.050,  4.55, 4.32,0.000,-18,-72,  0,
,,0.000,0.000,55,0.000,0.001,0.001,  6.16, 5.65,0.000,-57,-45, 15,
,,,,,,0.002,0.001,  5.90, 5.45,0.000,-45,-39, 15,
,,0.001,0.000,26,0.000,0.003,0.002,  5.74, 5.32,0.000,-27,-84, 30,
,,0.418,0.034,7,0.007,0.004,0.003,  5.68, 5.27,0.000,-33,  9,  9,
,,0.001,0.000,24,0.000,0.010,0.004,  5.49, 5.11,0.000,  0,-30, 24,
,,,,,,0.332,0.040,  4.65, 4.41,0.000, -3,-42, 18,
,,0.418,0.034,7,0.007,0.011,0.005,  5.48, 5.10,0.000,-30, 24, -6,
,,0.001,0.000,23,0.000,0.017,0.006,  5.37, 5.02,0.000, 24,-78,-24,
,,,,,,1.000,0.279,  3.82, 3.68,0.000, 12,-75,-24,
,,0.769,0.071,5,0.019,0.018,0.006,  5.36, 5.01,0.000, 30, 24, -6,
,,0.000,0.000,53,0.000,0.023,0.007,  5.30, 4.95,0.000, 27,-66, 33,
,,,,,,0.213,0.031,  4.76, 4.51,0.000, 21,-75, 48,
,,,,,,0.998,0.139,  4.12, 3.95,0.000, 21,-66, 45,
,,0.004,0.000,20,0.000,0.026,0.008,  5.27, 4.93,0.000,  6, -3, 18,
,,,,,,1.000,0.447,  3.60, 3.48,0.000, 12,-15, 21,
,,0.002,0.000,22,0.000,0.031,0.008,  5.23, 4.90,0.000,-21,-39, 72,
,,0.014,0.002,16,0.000,0.035,0.009,  5.20, 4.88,0.000, 42,-75,  3,
,,0.004,0.000,20,0.000,0.038,0.010,  5.18, 4.86,0.000, 48,-15, 42,
,,0.289,0.024,8,0.004,0.039,0.010,  5.17, 4.85,0.000,-57,-42, -6,
,,0.003,0.000,21,0.000,0.052,0.012,  5.11, 4.80,0.000, 45,-36,  0,
,,,,,,0.460,0.049,  4.57, 4.34,0.000, 48,-42,  9,
,,,,,,1.000,0.193,  3.99, 3.83,0.000, 54,-33,  0,
,,0.000,0.000,52,0.000,0.061,0.013,  5.07, 4.76,0.000, -9,  3, 15,
,,,,,,0.471,0.049,  4.56, 4.33,0.000, -9,-12, 21,
,,,,,,0.498,0.050,  4.55, 4.32,0.000,-18,-21, 18,
,,0.418,0.034,7,0.007,0.069,0.014,  5.04, 4.74,0.000, 33, 12,  9,
,,0.769,0.071,5,0.019,0.122,0.021,  4.90, 4.62,0.000, 12,-39,-15,
,,0.042,0.004,13,0.001,0.138,0.023,  4.87, 4.60,0.000,  9, 24,  3,
,,0.029,0.003,14,0.000,0.169,0.027,  4.82, 4.56,0.000,-24,-87,  9,
,,0.769,0.071,5,0.019,0.183,0.029,  4.80, 4.54,0.000,-51,-60, 21,
,,0.197,0.018,9,0.003,0.223,0.032,  4.75, 4.50,0.000, -6,-66, 39,
,,0.000,0.000,27,0.000,0.227,0.032,  4.75, 4.49,0.000,-48,-66, 15,
,,,,,,0.437,0.047,  4.58, 4.35,0.000,-54,-72, 15,
,,,,,,0.974,0.087,  4.31, 4.11,0.000,-54,-60,  9,
,,0.010,0.001,17,0.000,0.241,0.033,  4.73, 4.48,0.000,-60,-27,  9,
,,0.289,0.024,8,0.004,0.260,0.035,  4.71, 4.46,0.000, 33,-69,-45,
,,,,,,1.000,0.222,  3.92, 3.77,0.000, 30,-63,-39,
,,0.289,0.024,8,0.004,0.346,0.041,  4.64, 4.40,0.000, 12, 45,  6,
,,,,,,1.000,0.303,  3.78, 3.65,0.000,  6, 45, -3,
,,0.004,0.000,20,0.000,0.359,0.042,  4.63, 4.39,0.000,-63,-24, 30,
,,,,,,1.000,0.401,  3.65, 3.53,0.000,-51,-24, 33,
,,0.000,0.000,42,0.000,0.369,0.043,  4.63, 4.39,0.000, -9,-99,  0,
,,,,,,0.648,0.059,  4.48, 4.26,0.000,-18,-96,-12,
,,,,,,0.996,0.124,  4.17, 3.99,0.000,-33,-90,  6,
,,0.014,0.002,16,0.000,0.392,0.044,  4.61, 4.38,0.000, 48,-66,  0,
,,0.585,0.050,6,0.011,0.534,0.052,  4.53, 4.31,0.000, 48, 21, -9,
,,,,,,0.935,0.072,  4.39, 4.18,0.000, 39, 24, -3,
,,0.289,0.024,8,0.004,0.540,0.052,  4.53, 4.30,0.000, -6,-27, 72,
,,,,,,1.000,0.300,  3.79, 3.65,0.000,  3,-30, 75,
,,0.001,0.000,25,0.000,0.572,0.054,  4.51, 4.29,0.000,-39,-72, 12,
,,,,,,1.000,0.375,  3.68, 3.56,0.000,-36,-84, 18,
,,0.197,0.018,9,0.003,0.628,0.058,  4.49, 4.27,0.000,  9,-54, 30,
,,0.133,0.013,10,0.002,0.629,0.058,  4.49, 4.27,0.000,-54,-72, -6,
,,,,,,1.000,0.388,  3.66, 3.54,0.000,-60,-66,  0,
,,0.007,0.001,18,0.000,0.701,0.061,  4.46, 4.25,0.000, 36,-72,-27,
,,,,,,1.000,0.196,  3.98, 3.82,0.000, 42,-66,-27,
,,0.418,0.034,7,0.007,0.954,0.076,  4.36, 4.16,0.000,-42,-54,  9,
,,0.769,0.071,5,0.019,0.987,0.100,  4.25, 4.06,0.000,-39,-75, 21,
,,0.197,0.018,9,0.003,0.989,0.102,  4.24, 4.06,0.000,  9,-72,-12,
,,0.133,0.013,10,0.002,0.993,0.112,  4.21, 4.02,0.000,-33,-54, 33,
,,0.769,0.071,5,0.019,0.998,0.138,  4.13, 3.95,0.000,-51, 15,  9,
,,0.769,0.071,5,0.019,1.000,0.164,  4.05, 3.89,0.000, 48,-33, 24,
,,0.418,0.034,7,0.007,1.000,0.167,  4.04, 3.88,0.000, 39, 36,  9,
,,0.289,0.024,8,0.004,1.000,0.179,  4.02, 3.85,0.000, 45, 33, 30,
,,,,,,1.000,0.590,  3.46, 3.35,0.000, 51, 27, 33,
,,0.769,0.071,5,0.019,1.000,0.246,  3.88, 3.74,0.000,-36,  3,-21,
,,0.769,0.071,5,0.019,1.000,0.274,  3.84, 3.69,0.000,-45,-21, 48,
,,0.585,0.050,6,0.011,1.000,0.293,  3.80, 3.66,0.000, 54, 15,  0,
,,0.585,0.050,6,0.011,1.000,0.383,  3.67, 3.55,0.000,-33, 45,-15,
