set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,53,0.000,0.000,3613,0.000,0.000,0.000,  8.31, 7.20,0.000, 51,-30, 54,
,,,,,,0.000,0.000,  8.10, 7.06,0.000,  0, 42, 36,
,,,,,,0.000,0.000,  7.62, 6.73,0.000, 33, -6, 63,
,,0.000,0.000,59,0.000,0.000,0.000,  7.71, 6.80,0.000,-51, 15, -9,
,,,,,,0.031,0.009,  5.23, 4.90,0.000,-30, 21,  6,
,,,,,,0.949,0.074,  4.38, 4.17,0.000,-42, 24,  3,
,,0.000,0.000,141,0.000,0.000,0.000,  6.66, 6.03,0.000,-12,-84,-27,
,,,,,,0.004,0.002,  5.73, 5.30,0.000,-30,-75,-27,
,,,,,,0.011,0.005,  5.48, 5.11,0.000,-39,-60,-27,
,,0.002,0.000,22,0.000,0.000,0.000,  6.65, 6.02,0.000, -9, 24,  3,
,,,,,,0.069,0.015,  5.04, 4.74,0.000, -3, 18,  6,
,,,,,,1.000,0.207,  3.96, 3.80,0.000, -9, 15, 12,
,,0.000,0.000,141,0.000,0.000,0.001,  6.38, 5.82,0.000, 51,  3, 39,
,,,,,,0.001,0.001,  6.00, 5.52,0.000, 48,  9, 21,
,,,,,,0.011,0.005,  5.48, 5.10,0.000, 33,  9, 30,
,,0.581,0.049,6,0.011,0.000,0.001,  6.34, 5.79,0.000, 36,-48, 36,
,,0.000,0.000,43,0.000,0.001,0.001,  6.16, 5.65,0.000,-15,-54, -3,
,,,,,,0.034,0.010,  5.21, 4.88,0.000,-15,-63,  0,
,,,,,,0.535,0.053,  4.53, 4.31,0.000,-18,-72,  0,
,,0.000,0.000,55,0.000,0.001,0.001,  6.10, 5.60,0.000,-57,-45, 15,
,,,,,,0.002,0.002,  5.87, 5.42,0.000,-45,-39, 15,
,,0.000,0.000,33,0.000,0.003,0.002,  5.75, 5.32,0.000,-27,-84, 30,
,,,,,,0.982,0.094,  4.28, 4.09,0.000,-39,-75, 21,
,,0.414,0.034,7,0.007,0.004,0.003,  5.69, 5.27,0.000,-33,  9,  9,
,,0.001,0.000,23,0.000,0.009,0.004,  5.51, 5.13,0.000,  0,-30, 24,
,,,,,,0.395,0.044,  4.61, 4.37,0.000, -3,-42, 18,
,,0.414,0.034,7,0.007,0.013,0.005,  5.44, 5.07,0.000,-30, 24, -6,
,,0.002,0.000,22,0.000,0.013,0.005,  5.43, 5.06,0.000, 24,-78,-24,
,,,,,,1.000,0.299,  3.79, 3.65,0.000, 12,-75,-24,
,,0.767,0.069,5,0.019,0.020,0.007,  5.34, 4.99,0.000, 30, 24, -6,
,,0.003,0.000,20,0.000,0.031,0.009,  5.24, 4.90,0.000,  6, -3, 18,
,,,,,,1.000,0.457,  3.58, 3.46,0.000, 12,-15, 21,
,,0.002,0.000,22,0.000,0.034,0.010,  5.21, 4.88,0.000,-21,-39, 72,
,,0.286,0.026,8,0.004,0.043,0.011,  5.15, 4.83,0.000,-57,-42, -6,
,,0.002,0.000,22,0.000,0.045,0.011,  5.14, 4.83,0.000, 45,-36,  0,
,,,,,,0.486,0.050,  4.56, 4.33,0.000, 48,-42,  9,
,,,,,,1.000,0.187,  4.00, 3.84,0.000, 54,-33,  0,
,,0.003,0.000,20,0.000,0.047,0.011,  5.14, 4.82,0.000, 48,-15, 42,
,,0.014,0.002,16,0.000,0.049,0.012,  5.12, 4.81,0.000, 42,-75,  3,
,,0.000,0.000,50,0.000,0.073,0.015,  5.03, 4.73,0.000, -6, -3, 18,
,,,,,,0.404,0.045,  4.61, 4.37,0.000, -9,-12, 21,
,,,,,,0.509,0.052,  4.55, 4.32,0.000,-18,-21, 18,
,,0.414,0.034,7,0.007,0.085,0.017,  4.99, 4.70,0.000, 33, 12,  9,
,,0.767,0.069,5,0.019,0.093,0.018,  4.97, 4.68,0.000, 12,-39,-15,
,,0.767,0.069,5,0.019,0.096,0.018,  4.96, 4.67,0.000,-51,-60, 21,
