set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,54,0.000,0.000,233,0.000,0.000,0.000,  9.53,  Inf,0.000, 51,-72,-24,
,,,,,,0.000,0.000,  6.96, 6.25,0.000, 57,-63,-27,
,,,,,,0.002,0.002,  5.82, 5.38,0.000, 60,-54,-27,
,,0.000,0.000,4369,0.000,0.000,0.000,  8.93, 7.61,0.000,-24,-33, -3,
,,,,,,0.000,0.000,  8.74, 7.49,0.000,  0,-15,  3,
,,,,,,0.000,0.000,  7.98, 6.98,0.000, 15, 33, 27,
,,0.000,0.000,36,0.000,0.000,0.000,  8.91, 7.60,0.000,-48, 27, 42,
,,,,,,0.000,0.000,  8.11, 7.07,0.000,-42, 42, 36,
,,,,,,0.000,0.000,  7.47, 6.62,0.000,-30, 36, 51,
,,0.000,0.000,449,0.000,0.000,0.000,  7.80, 6.86,0.000,-39,-24, 21,
,,,,,,0.000,0.000,  7.09, 6.35,0.000,-18,-27, 42,
,,,,,,0.000,0.000,  6.97, 6.26,0.000,-48,-12, 18,
,,0.767,0.099,5,0.019,0.000,0.000,  7.17, 6.41,0.000, 36, 36,-21,
,,0.000,0.000,30,0.000,0.000,0.000,  6.96, 6.25,0.000, 63, 15, 12,
,,,,,,0.000,0.000,  6.85, 6.17,0.000, 63, 12, 30,
,,,,,,0.116,0.017,  4.92, 4.63,0.000, 63, 15,  3,
,,0.000,0.000,88,0.000,0.000,0.000,  6.79, 6.13,0.000, 57, 39,  9,
,,,,,,0.000,0.000,  6.66, 6.03,0.000, 51, 45, 21,
,,,,,,0.000,0.000,  6.57, 5.96,0.000, 57, 36, 21,
,,0.286,0.038,8,0.004,0.000,0.000,  6.74, 6.09,0.000,-57, -6,-39,
,,,,,,0.995,0.106,  4.19, 4.01,0.000,-48,  3,-42,
,,0.000,0.000,113,0.000,0.000,0.000,  6.53, 5.93,0.000, 54,-51, 54,
,,,,,,0.000,0.001,  6.22, 5.69,0.000, 42,-60, 60,
,,,,,,0.004,0.002,  5.71, 5.29,0.000, 45,-72, 48,
,,0.000,0.000,47,0.000,0.000,0.000,  6.47, 5.88,0.000, 69,-12, 27,
