set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,32,0.000,0.000,50,0.000,0.000,0.000,  9.45,  Inf,0.000, 51,-72,-24,
,,,,,,0.000,0.012,  6.80, 6.14,0.000, 57,-63,-27,
,,,,,,0.003,0.176,  5.78, 5.35,0.000, 60,-54,-27,
,,0.000,0.000,8,0.000,0.000,0.000,  8.91, 7.61,0.000,-24,-33, -3,
,,0.000,0.000,20,0.000,0.000,0.000,  8.77, 7.52,0.000,  0,-15,  3,
,,,,,,0.002,0.136,  5.87, 5.42,0.000, -6, -9,  6,
,,,,,,0.009,0.341,  5.52, 5.14,0.000, -6,-21,  0,
,,0.000,0.000,22,0.000,0.000,0.000,  8.01, 7.01,0.000, 15, 33, 27,
,,,,,,0.002,0.123,  5.90, 5.45,0.000, 15, 21, 33,
,,0.000,0.000,24,0.000,0.000,0.000,  7.92, 6.94,0.000,-15, -6, -9,
,,,,,,0.000,0.023,  6.57, 5.96,0.000, -6, -6, -9,
,,,,,,0.019,0.551,  5.35, 5.00,0.000,-18, -3,  0,
,,0.000,0.000,28,0.000,0.000,0.000,  7.85, 6.90,0.000,-39,-24, 21,
,,,,,,0.000,0.007,  6.98, 6.28,0.000,-48,-12, 18,
,,,,,,0.001,0.106,  5.94, 5.48,0.000,-48,-30, 27,
,,0.000,0.000,17,0.000,0.000,0.001,  7.66, 6.77,0.000,-33,-36,-24,
,,,,,,0.000,0.005,  7.15, 6.40,0.000,-36,-51,-15,
,,,,,,0.004,0.209,  5.71, 5.29,0.000,-39,-45,-21,
,,0.000,0.000,10,0.000,0.000,0.002,  7.42, 6.60,0.000,-27,-30,-33,
,,0.000,0.000,23,0.000,0.000,0.005,  7.16, 6.40,0.000,  6, 42,-27,
,,,,,,0.011,0.384,  5.47, 5.10,0.000, -3, 48,-27,
,,0.000,0.000,30,0.000,0.000,0.005,  7.13, 6.39,0.000, 36,-33,-27,
,,,,,,0.000,0.005,  7.11, 6.37,0.000, 30,-30,-33,
,,,,,,0.002,0.160,  5.81, 5.37,0.000, 21,-24,-30,
,,0.000,0.000,22,0.000,0.000,0.005,  7.10, 6.36,0.000, 18,-33,  6,
,,,,,,0.000,0.049,  6.27, 5.73,0.000, 12,-27,  6,
,,0.000,0.000,9,0.000,0.000,0.009,  6.93, 6.23,0.000, -9,-30,  3,
,,,,,,0.006,0.257,  5.63, 5.23,0.000,-21,-30,  3,
,,0.000,0.000,11,0.000,0.000,0.010,  6.89, 6.21,0.000,-42,-45,-42,
,,,,,,0.009,0.344,  5.52, 5.13,0.000,-48,-51,-42,
,,0.000,0.000,6,0.000,0.000,0.012,  6.82, 6.16,0.000, 63, 12, 30,
,,,,,,0.000,0.053,  6.22, 5.69,0.000, 63, 18, 24,
,,0.000,0.000,10,0.000,0.000,0.013,  6.78, 6.12,0.000, 57, 39,  9,
,,,,,,0.001,0.066,  6.12, 5.62,0.000, 57, 36, -6,
,,,,,,0.001,0.083,  6.05, 5.56,0.000, 57, 33,  3,
,,0.000,0.000,13,0.000,0.000,0.013,  6.77, 6.12,0.000, 15,  9,-12,
,,,,,,0.013,0.431,  5.43, 5.07,0.000,  6, 15, -6,
,,0.000,0.000,11,0.000,0.000,0.013,  6.76, 6.11,0.000,-12,-69,-51,
,,0.000,0.000,6,0.000,0.000,0.018,  6.65, 6.03,0.000, 15,-33, 48,
,,0.000,0.000,5,0.000,0.000,0.021,  6.61, 6.00,0.000, 33,-39, -9,
,,0.000,0.000,12,0.000,0.000,0.025,  6.53, 5.94,0.000,-15,  9,-21,
,,,,,,0.000,0.056,  6.18, 5.66,0.000,-12,  3,-27,
,,0.000,0.000,5,0.000,0.000,0.026,  6.51, 5.92,0.000, 15,-15, 45,
,,0.000,0.000,8,0.000,0.000,0.027,  6.49, 5.91,0.000,  9,-27,-12,
,,0.000,0.000,9,0.000,0.000,0.028,  6.48, 5.90,0.000,  9,-57,-27,
,,0.000,0.000,10,0.000,0.000,0.037,  6.38, 5.82,0.000,-12,-45,-45,
,,,,,,0.002,0.135,  5.87, 5.42,0.000, -9,-48,-36,
,,0.000,0.000,9,0.000,0.000,0.043,  6.32, 5.78,0.000,-21,-51,-48,
,,,,,,0.006,0.259,  5.62, 5.22,0.000,-27,-60,-54,
,,0.000,0.000,6,0.000,0.000,0.051,  6.25, 5.72,0.000, 12,  3, 51,
,,0.000,0.000,13,0.000,0.000,0.051,  6.25, 5.72,0.000,  0, -9,-12,
,,,,,,0.000,0.056,  6.17, 5.66,0.000, 12, -9, -9,
,,,,,,0.004,0.212,  5.70, 5.28,0.000, 15,-15, -3,
,,0.000,0.000,5,0.000,0.000,0.051,  6.24, 5.71,0.000,-30,-78, -9,
,,0.000,0.000,8,0.000,0.000,0.054,  6.19, 5.68,0.000,  6,  3, -6,
,,,,,,0.003,0.189,  5.75, 5.33,0.000,  0,  3,  0,
,,0.000,0.000,8,0.000,0.001,0.106,  5.94, 5.48,0.000,-15, 27, 39,
,,,,,,0.016,0.499,  5.39, 5.03,0.000,-12, 36, 36,
,,0.000,0.000,5,0.000,0.003,0.189,  5.76, 5.33,0.000, 15,  6,-24,
,,0.000,0.000,5,0.000,0.009,0.336,  5.53, 5.15,0.000, 12,-45,-48,
