set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,14,0.000,0.000,8,0.000,0.000,0.001,  8.31, 7.20,0.000, 51,-30, 54,
,,0.000,0.000,29,0.000,0.000,0.001,  8.10, 7.06,0.000,  0, 42, 36,
,,,,,,0.001,0.415,  5.98, 5.50,0.000,  0, 36, 48,
,,,,,,0.003,0.642,  5.80, 5.36,0.000,  0, 33, 30,
,,0.000,0.000,6,0.000,0.000,0.004,  7.71, 6.80,0.000,-51, 15, -9,
,,0.000,0.000,11,0.000,0.000,0.005,  7.62, 6.73,0.000, 33, -6, 63,
,,0.000,0.000,7,0.000,0.000,0.006,  7.53, 6.67,0.000,  3,-78, 33,
,,0.000,0.000,15,0.000,0.000,0.009,  7.39, 6.57,0.000,-48,  0, 39,
,,,,,,0.000,0.095,  6.60, 5.98,0.000,-48,  3, 48,
,,0.000,0.000,14,0.000,0.000,0.010,  7.34, 6.53,0.000, -3, 36, 57,
,,,,,,0.000,0.174,  6.35, 5.79,0.000, -3, 45, 51,
,,,,,,0.000,0.237,  6.21, 5.69,0.000,  0, 27, 60,
,,0.000,0.000,5,0.000,0.000,0.022,  7.12, 6.37,0.000,-39,-66, 51,
,,0.000,0.000,7,0.000,0.000,0.028,  7.05, 6.32,0.000,  0, 15, 45,
,,0.000,0.000,10,0.000,0.000,0.032,  6.99, 6.27,0.000,-51,  3, 24,
,,0.000,0.000,6,0.000,0.000,0.078,  6.69, 6.05,0.000,-45, 21, 21,
,,0.000,0.000,5,0.000,0.000,0.080,  6.65, 6.02,0.000, -9, 24,  3,
,,0.000,0.000,7,0.000,0.000,0.122,  6.52, 5.93,0.000,-24, 60, 18,
,,,,,,0.001,0.456,  5.95, 5.48,0.000,-27, 45, 15,
,,0.000,0.000,9,0.000,0.001,0.366,  6.05, 5.56,0.000,-54,-33, 48,
,,,,,,0.001,0.403,  5.99, 5.51,0.000,-51,-39, 54,
