set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,22,0.000,0.000,15,0.000,0.000,0.000,  8.32, 7.22,0.000, 51,-30, 54,
,,,,,,0.001,0.110,  5.97, 5.50,0.000, 45,-33, 60,
,,0.000,0.000,107,0.000,0.000,0.000,  8.11, 7.08,0.000,  0, 42, 36,
,,,,,,0.000,0.002,  7.40, 6.58,0.000, -3, 36, 57,
,,,,,,0.000,0.026,  6.57, 5.96,0.000,-12, 45, 45,
,,0.000,0.000,9,0.000,0.000,0.001,  7.70, 6.79,0.000,-51, 15, -9,
,,0.000,0.000,18,0.000,0.000,0.001,  7.59, 6.72,0.000, 33, -6, 63,
,,0.000,0.000,18,0.000,0.000,0.002,  7.52, 6.66,0.000,  3,-78, 33,
,,,,,,0.010,0.364,  5.51, 5.13,0.000, -6,-78, 30,
,,0.000,0.000,21,0.000,0.000,0.002,  7.36, 6.55,0.000,-48,  0, 39,
,,,,,,0.000,0.026,  6.56, 5.96,0.000,-48,  3, 48,
,,0.000,0.000,11,0.000,0.000,0.007,  7.04, 6.32,0.000,  0, 15, 45,
,,0.000,0.000,32,0.000,0.000,0.007,  7.04, 6.32,0.000,-51,  3, 24,
,,,,,,0.002,0.146,  5.83, 5.39,0.000,-42,  0, 27,
,,,,,,0.004,0.235,  5.69, 5.27,0.000,-54,  3, 36,
,,0.000,0.000,10,0.000,0.000,0.008,  6.98, 6.28,0.000,-39,-66, 51,
,,0.000,0.000,8,0.000,0.000,0.014,  6.81, 6.15,0.000,-27, 51, 30,
,,,,,,0.001,0.077,  6.12, 5.62,0.000,-18, 54, 27,
,,0.000,0.000,11,0.000,0.000,0.016,  6.74, 6.09,0.000,-45, 21, 21,
,,0.000,0.000,5,0.000,0.000,0.018,  6.70, 6.06,0.000,-12,-84,-27,
,,0.000,0.000,5,0.000,0.000,0.018,  6.68, 6.05,0.000, -9, 24,  3,
,,0.000,0.000,20,0.000,0.000,0.027,  6.54, 5.95,0.000,-24, 60, 18,
,,,,,,0.001,0.099,  6.01, 5.53,0.000,-27, 45, 15,
,,,,,,0.006,0.282,  5.60, 5.20,0.000,-30, 60,  6,
,,0.000,0.000,6,0.000,0.001,0.071,  6.16, 5.65,0.000,-57,-45, 15,
,,0.000,0.000,7,0.000,0.001,0.077,  6.11, 5.61,0.000,  3,-78, 12,
,,0.000,0.000,17,0.000,0.001,0.082,  6.09, 5.60,0.000,-54,-33, 48,
,,,,,,0.002,0.124,  5.89, 5.44,0.000,-51,-39, 54,
,,0.000,0.000,11,0.000,0.001,0.099,  6.00, 5.53,0.000,-27, 45, 33,
,,0.000,0.000,7,0.000,0.001,0.110,  5.96, 5.49,0.000,-27, 18, 57,
,,,,,,0.005,0.260,  5.65, 5.24,0.000,-30, 27, 51,
,,0.000,0.000,6,0.000,0.001,0.110,  5.96, 5.49,0.000, 27, 27, 54,
,,0.000,0.000,9,0.000,0.002,0.124,  5.90, 5.44,0.000, 12,-57,  0,
,,0.000,0.000,6,0.000,0.007,0.306,  5.57, 5.18,0.000, 18,  3, 72,
