set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.052,8,0.083,0.112,59,0.009,0.090,0.149,  4.64, 4.52,0.000, -3, 60,-18,
,,,,,,0.720,0.517,  3.88, 3.81,0.000, -9, 63, -9,
,,0.857,0.502,12,0.193,0.248,0.227,  4.33, 4.23,0.000, 12, 15, 18,
,,0.746,0.443,16,0.136,0.728,0.517,  3.87, 3.80,0.000, 36,-18,-39,
,,0.943,0.515,8,0.285,0.914,0.543,  3.66, 3.60,0.000,  6, 39, 60,
,,0.959,0.515,7,0.317,0.922,0.543,  3.65, 3.59,0.000,  9, -6, 18,
,,0.427,0.360,28,0.055,0.932,0.543,  3.63, 3.57,0.000,-21, 27, 45,
,,,,,,0.977,0.544,  3.51, 3.46,0.000,-15, 33, 42,
,,0.631,0.429,20,0.099,0.948,0.543,  3.60, 3.54,0.000,-15, 72, 12,
,,,,,,0.954,0.543,  3.59, 3.53,0.000,-18, 66, 21,
,,0.943,0.515,8,0.285,0.992,0.641,  3.42, 3.37,0.000,-60,-15,-24,
